Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.540227.peg.3170	yes	Nocardia_sp._CC227C	terpene	2	5	0	0
fig|6666666.540621.peg.2722	yes	Nocardiopsis_sp._CC223A	terpene	25	1	2-methylisoborneol | Terpene	75
fig|6666666.540754.peg.7364	yes	Streptomyces_sp._CC224E	terpene	6	1	2-methylisoborneol | Terpene	100
fig|6666666.563199.peg.10347	yes	Streptomyces_sp._CC208B	T3PKS	1	16	flaviolin | Other	75
fig|6666666.563202.peg.297	yes	Streptomyces_sp._CC224B	terpene	10	1	ebelactone | Polyketide	5
fig|6666666.582862.peg.10026	yes	Streptomyces_sp._CC219Ahyb	T3PKS	73	1	ebelactone | Polyketide	5
fig|6666666.584551.peg.6640	yes	Streptomyces_sp._CC219Ahybcontrimo	terpene	333	1	ebelactone | Polyketide	5
fig|6666666.590938.peg.5027	yes	Streptomyces_rochei_CC71	terpene	431	1	isorenieratene | Terpene	71
fig|6666666.590939.peg.6073	yes	Streptomyces_rochei_CC48	terpene	633	1	isorenieratene | Terpene	85
fig|6666666.590940.peg.5426	yes	Streptomyces_rochei_CC36	hglE-KS	55	1	pladienolide B | Polyketide	0.5
fig|6666666.590941.peg.7167	yes	Streptomyces_lentzea_CC55	NRPS	68	5	stigmatellin | NRP + Polyketide:Modular type I	40
fig|6666666.590941.peg.7170	yes	Streptomyces_lentzea_CC55	NRPS	68	5	stigmatellin | NRP + Polyketide:Modular type I	40
