BGC0000966	MiBIG	NRP-Polyketide Actinoalloteichus sp.	A	-	-	caerulomycin	100
BGC0000809	MiBIG	Actinomadura melliaura Actinobacteria	Alkaloid	-	-	AT2433	100
BGC0000354	MiBIG	Actinoplanes friuliensis Actinobacteria	NRP	-	-	friulimicin	100
BGC0000495	MiBIG	Actinoplanes garbadinensis Actinobacteria	RiPP	-	-	actagardine	100
BGC0001178	MiBIG	Actinoplanes sp. ATCC	NRP	-	-	UK-68,597	100
BGC0000440	MiBIG	Actinoplanes teichomyceticus Actinobacteria	NRP	-	-	teicoplanin	100
BGC0000441	MiBIG	Actinoplanes teichomyceticus Actinobacteria	NRP	-	-	teicoplanin	100
BGC0000392	MiBIG	Actinosynnema mirum DSM	NRP	-	-	mirubactin	100
BGC0000020	MiBIG	Actinosynnema pretiosum subsp.	Polyketide	-	-	ansamitocin	100
BGC0000090	MiBIG	Actinosynnema pretiosum subsp.	Polyketide	-	-	macbecin	100
BGC0000136	MiBIG	Amycolatopsis mediterranei S699	Polyketide	-	-	rifamycin	100
BGC0000133	MiBIG	Amycolatopsis orientalis Actinobacteria	Polyketide	-	-	quartromicin	100
BGC0001154	MiBIG	Catenulispora acidiphila DSM	Other	-	-	cacibiocin	100
BGC0000528	MiBIG	RiPP Clavibacter michiganensis	A	-	-	michiganin	100
BGC0000165	MiBIG	Polyketide Dactylosporangium aurantiacum	B	-	-	tiacumicin	100
BGC0000216	MiBIG	Dactylosporangium sp. SC14051	Polyketide	-	-	dactylocycline	100
BGC0001197	MiBIG	Frankia sp. EAN1pec	Polyketide	-	-	frankiamicin	100
BGC0000202	MiBIG	Kibdelosporangium sp. MJ126-NF4	Polyketide	-	-	azicemicin	100
BGC0000002	MiBIG	Kutzneria albida DSM	Polyketide	-	-	aculeximycin	100
BGC0000821	MiBIG	Lechevalieria aerocolonigenes Actinobacteria	Other	-	-	rebeccamycin	100
BGC0000822	MiBIG	Lechevalieria aerocolonigenes Actinobacteria	Alkaloid	-	-	rebeccamycin	100
BGC0000823	MiBIG	Lechevalieria aerocolonigenes Actinobacteria	Alkaloid	-	-	rebeccamycin	100
