Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.540227.peg.2382	Yes	Nocardia_sp._CC227C	T1PKS	17	1	0	0
fig|6666666.540227.peg.2807	Yes	Nocardia_sp._CC227C	NRPS	2	2	A40926 | NRP:Glycopeptide + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.596	Yes	Nocardia_sp._CC227C	T3PKS	1	4	0	0
fig|6666666.540613.peg.3276	Yes	Nocardia_sp._CC213A	NRPS	2	3	A40926 | NRP:Glycopectide + Saccharide:Hybrid/tailoring	5
fig|6666666.540613.peg.3309	Yes	Nocardia_sp._CC213A	NRPS	2	3	A40926 | NRP:Glycopectide + Saccharide:Hybrid/tailoring	5
fig|6666666.540615.peg.2959	Yes	Nocardia_sp._CC216A	NRPS	2	3	A40926 | NRP:Glycopetide + Saccharide:Hybrid/tailoring	5
fig|6666666.540615.peg.2992	Yes	Nocardia_sp._CC216A	NRPS	2	3	A40926 | NRP:Glycopetide + Saccharide:Hybrid/tailoring	5
fig|6666666.540620.peg.8470	Yes	Streptomyces_sp._CC226D	lanthipeptide	39	1	carbapenem MM4550 | Other:Non-NRP beta-lactam	6
fig|6666666.540621.peg.4854	Yes	Nocardiopsis_sp._CC223A	NRPS	56	1	amycolamycin A | amycolamycin B | Polyketide	4
fig|6666666.540754.peg.6985	Yes	Streptomyces_sp._CC224E	PKS-like	5	1	daptomycin | NRP	7
fig|6666666.563199.peg.10207	Yes	Streptomyces_sp._CC208B	thiopeptide	1	15	thiomuracin | RiPP:Thiopeptide	16
fig|6666666.563200.peg.3799	Yes	Streptomyces_sp._CC216B	NRPS	36	1	kanamycin | Saccharide	2
fig|6666666.563200.peg.6158	Yes	Streptomyces_sp._CC216B	lanthipeptide	67	1	carbapenem MM4550 | Other:Non NRP beta-lactam	6
fig|6666666.563201.peg.581	Yes	Streptomyces_sp._CC216C	lanthipeptide	118	1	0	0
fig|6666666.563202.peg.2047	Yes	Streptomyces_sp._CC224B	NRPS	161	1	WAP-8294A2 | NRP	20
fig|6666666.563202.peg.4938	Yes	Streptomyces_sp._CC224B	terpene	36	1	zorbamycin | NRP:Glycopeptide + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	8
fig|6666666.582834.peg.10046	Yes	Streptomyces_sp._CC213Dhyb	NRPS	68	2	daptomycin | NRP	7
fig|6666666.584549.peg.10359	Yes	Streptomyces_sp._CC213Dhybcontrimo	NRPS	61	1	daptomycin | NRP	7
fig|6666666.590940.peg.319	Yes	Streptomyces_rochei_CC36	lanthidin	116	2	0	0
fig|6666666.590941.peg.3169	Yes	Streptomyces_lentzea_CC55	NRPS	24	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	10
BGC0000014_ABK32252	No						
BGC0000080_ABK32284	No						
BGC0000413_AAY93396	No						
BGC0001588_WP_004526108	No						
BGC0001589_WP_085964382	No						
