Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|1823.7.peg.4277	Yes	Nocardia__otitidiscaviarum_sp._CC201C	terpene	359	1	0	0
fig|1823.7.peg.5738	Yes	Nocardia__otitidiscaviarum_sp._CC201C	terpene	51	1	0	0
fig|6666666.540227.peg.1382	Yes	Nocardia_sp._CC227C	NRPS	12	1	0	0
fig|6666666.540227.peg.2056	Yes	Nocardia_sp._CC227C	NRPS	15	1	nataxazole | Polyketide	11
fig|6666666.540227.peg.2934	Yes	Nocardia_sp._CC227C	NRPS	2	3	heterobactin A | heterobactin S2 | NRP	63
fig|6666666.540227.peg.3049	Yes	Nocardia_sp._CC227C	NRPS	2	4	lugnomycin | Polyketide	11
fig|6666666.540227.peg.3523	Yes	Nocardia_sp._CC227C	NRPS	22	1	granaticin | Polyketide:Type II	24
fig|6666666.540227.peg.4249	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.4275	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.4788	Yes	Nocardia_sp._CC227C	NRPS	33	1	isorenieratene	18
fig|6666666.540227.peg.6230	Yes	Nocardia_sp._CC227C	NRPS	6	1	calicheamicin | Polyketide	4
fig|6666666.540227.peg.6249	Yes	Nocardia_sp._CC227C	NRPS	6	1	calicheamicin | Polyketide	4
fig|6666666.540227.peg.6602	Yes	Nocardia_sp._CC227C	T2PKS	7	2	enterocin | Polyketide:Type II	60
fig|6666666.540613.peg.1087	Yes	Nocardia_sp._CC213A	NRPS	11	1	calicheamicin | Polyketide	4
fig|6666666.540613.peg.1107	Yes	Nocardia_sp._CC213A	NRPS	11	1	calicheamicin | Polyketide	4
fig|6666666.540613.peg.1301	Yes	Nocardia_sp._CC213A	bacteriocin	12	1	isorenieratene | Terpene	18
