BGC0000445	MiBIG	Micromonospora sp. ML1	NRP	-	-	thiocoraline	100
BGC0000267	MiBIG	B Polyketide-Saccharide Micromonospora	Z-galtamycin	-	-	saquayamycin	100
BGC0000873	MiBIG	Saccharothrix mutabilis subsp.	Other	-	-	A201A	100
BGC0001041	MiBIG	Salinispora tropica CNB-440	NRP-Polyketide	-	-	salinosporamide	100
BGC0000339	MiBIG	Streptomyces lasaliensis Actinobacteria	NRP	-	-	echinomycin	100
BGC0001011	MiBIG	Streptomyces sp. NRRL	NRP-Polyketide	-	-	meridamycin	100
BGC0000434	MiBIG	Streptomyces sp. SNA15896	NRP	-	-	SW-163	100
BGC0000227	MiBIG	Streptomyces violaceoruber Actinobacteria	Polyketide	-	-	granaticin	100
BGC0000413	MiBIG	Pseudomonas protegens Pf-5	NRP	-	-	pyoverdine	100
BGC0000259	MiBIG	Serratia marcescens Proteobacteria	Polyketide	-	-	prodigiosin	100
BGC0001560	MiBIG	Moorea producens JHB	NRP-Polyketide	-	-	cryptomaldamide	100
BGC0001644	MiBIG	Gynuella sunshinyii YC6258	Polyketide	-	-	lacunalides	100
