BGC0000494	MiBIG	Streptococcus uberis Actinobacteria	RiPP	-	-	uberolysin	100
BGC0000486	MiBIG	RiPP Butyrivibrio fibrisolvens	AR10	-	-	butyrivibriocin	100
BGC0000488	MiBIG	RiPP Clostridium beijerinckii	A	-	-	circularin	100
BGC0000619	MiBIG	RiPP Lactobacillus gasseri	T	-	-	gassericin	100
BGC0000484	MiBIG	RiPP Lactobacillus plantarum	F	-	-	glycocin	100
BGC0000624	MiBIG	alpha peptide-salivaricin CRL1328	CRL1328	-	-	salivaricin	100
BGC0000540	MiBIG	Paenibacillus polymyxa OSY-DF	RiPP	-	-	paenibacillin	100
BGC0000539	MiBIG	RiPP Staphylococcus warneri	ISK-1	-	-	nukacin	100
BGC0000974	MiBIG	Chondromyces crocatus Proteobacteria	NRP-Polyketide	-	-	crocacin	100
BGC0001388	MiBIG	RiPP Lactobacillus gasseri	E	-	-	gassericin	100
BGC0001559	MiBIG	B RiPP Chondromyces	A-crocagin	-	-	crocagin	100
BGC0001602	MiBIG	Lactobacillus gasseri Firmicutes	RiPP	-	-	gassericin-T	100
