Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|1823.7.peg.4270	Yes	Nocardia__otitidiscaviarum_sp._CC201C	terpene	359	1	0	0
fig|1823.7.peg.6940	Yes	Nocardia__otitidiscaviarum_sp._CC201C	NRPS-like	7	1	0	0
fig|1823.7.peg.7540	Yes	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	9	1	0	0
fig|6666666.540227.peg.2031	Yes	Nocardia_sp._CC227C	NRPS	15	1	nataxazole | Polyketide	11
fig|6666666.540227.peg.2949	Yes	Nocardia_sp._CC227C	NRPS	2	3	heterobactin A | heterobactin S2 | NRP	63
fig|6666666.540227.peg.3033	Yes	Nocardia_sp._CC227C	NRPS	2	4	lugnomycin | Polyketide	11
fig|6666666.540227.peg.3049	Yes	Nocardia_sp._CC227C	NRPS	2	4	lugnomycin | Polyketide	11
fig|6666666.540227.peg.3088	Yes	Nocardia_sp._CC227C	NRPS	2	4	lugnomycin | Polyketide	11
fig|6666666.540227.peg.3562	Yes	Nocardia_sp._CC227C	NRPS	22	1	granaticin | Polyketide:Type II	24
fig|6666666.540227.peg.4202	Yes	Nocardia_sp._CC227C	NRPS	3	1	0	0
fig|6666666.540227.peg.4269	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.4697	Yes	Nocardia_sp._CC227C	NRPS	30	1	0	0
fig|6666666.540227.peg.4788	Yes	Nocardia_sp._CC227C	NRPS	33	1	isorenieratene	18
fig|6666666.540227.peg.5586	Yes	Nocardia_sp._CC227C	T1PKS	5	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.6230	Yes	Nocardia_sp._CC227C	NRPS	6	1	calicheamicin | Polyketide	4
fig|6666666.540227.peg.642	Yes	Nocardia_sp._CC227C	T3PKS	1	4	0	0
fig|6666666.540227.peg.6583	Yes	Nocardia_sp._CC227C	T2PKS	7	2	enterocin | Polyketide:Type II	60
fig|6666666.540227.peg.6679	Yes	Nocardia_sp._CC227C	NRPS-like	7	3	BD-12 | NRP	7
fig|6666666.540612.peg.1974	Yes	Streptomyces_sp._CC210A	NRPS	2	1	feclymycin | NRP	47
fig|6666666.540612.peg.5365	Yes	Streptomyces_sp._CC210A	NRPS	57	1	malonomycin | NRP + Polyketide	11
fig|6666666.540612.peg.854	Yes	Streptomyces_sp._CC210A	PKS-like	132	1	0	0
fig|6666666.540612.peg.918	Yes	Streptomyces_sp._CC210A	thiopeptide	138	1	0	0
fig|6666666.540613.peg.1107	Yes	Nocardia_sp._CC213A	NRPS	11	1	calicheamicin | Polyketide	4
fig|6666666.540613.peg.1301	Yes	Nocardia_sp._CC213A	bacteriocin	12	1	isorenieratene | Terpene	18
fig|6666666.540613.peg.1326	Yes	Nocardia_sp._CC213A	bacteriocin	12	1	isorenieratene | Terpene	18
fig|6666666.540613.peg.3188	Yes	Nocardia_sp._CC213A	NRPS	2	2	heterobactin A | heterobactin S2 | NRP	72
fig|6666666.540613.peg.3431	Yes	Nocardia_sp._CC213A	arylpolyene	20	1	0	0
fig|6666666.540613.peg.3913	Yes	Nocardia_sp._CC213A	butyrolactone	23	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540613.peg.3922	Yes	Nocardia_sp._CC213A	butyrolactone	23	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540613.peg.5979	Yes	Nocardia_sp._CC213A	NRPS	4	1	nocobactin NA | NRP + Polyketide	37
fig|6666666.540613.peg.6463	Yes	Nocardia_sp._CC213A	NRPS	6	1	aurantimycin A | NRP + Polyketide	6
fig|6666666.540613.peg.6838	Yes	Nocardia_sp._CC213A	NRPS	7	1	berninamycin A | RiPP	26
fig|6666666.540615.peg.1334	Yes	Nocardia_sp._CC216A	T3PKS	12	1	0	0
fig|6666666.540615.peg.1556	Yes	Nocardia_sp._CC216A	NRPS	13	1	isorenieratene | Terpene	18
fig|6666666.540615.peg.1581	Yes	Nocardia_sp._CC216A	NRPS	13	1	isorenieratene | Terpene	18
fig|6666666.540615.peg.2523	Yes	Nocardia_sp._CC216A	butyrolactone	19	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540615.peg.2532	Yes	Nocardia_sp._CC216A	butyrolactone	19	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540615.peg.2738	Yes	Nocardia_sp._CC216A	NRPS	2	1	butyrolactol A | Polyketide	20
fig|6666666.540615.peg.2780	Yes	Nocardia_sp._CC216A	NRPS	2	1	butyrolactol A | Polyketide	20
