Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.540227.peg.2031	Yes	Nocardia_sp._CC227C	NRPS	15	1	nataxazole | Polyketide	11
fig|6666666.540227.peg.6670	Yes	Nocardia_sp._CC227C	NRPS-like	7	3	BD-12 | NRP	7
fig|6666666.540227.peg.7281	Yes	Nocardia_sp._CC227C	NRPS-like	9	2	0	0
fig|6666666.540612.peg.6849	Yes	Streptomyces_sp._CC210A	ectoine	91	1	showdomyicin | Other	47
fig|6666666.540613.peg.7071	Yes	Nocardia_sp._CC213A	NRPS	7	2	0	0
fig|6666666.540615.peg.4403	Yes	Nocardia_sp._CC216A	NRPS	3	1	amychelin | NRP	18
fig|6666666.540615.peg.4467	Yes	Nocardia_sp._CC216A	NRPS	3	1	amychelin | NRP	18
fig|6666666.540615.peg.6772	Yes	Nocardia_sp._CC216A	NRPS	6	2	0	0
fig|6666666.540620.peg.10152	Yes	Streptomyces_sp._CC226D	NRPS	49	1	0	0
fig|6666666.540620.peg.14414	Yes	Streptomyces_sp._CC226D	ectoine	87	1	showdomycin | Other	47
fig|6666666.540620.peg.6810	Yes	Streptomyces_sp._CC226D	NRPS-like	3	2	BD-12 | NRP	7
fig|6666666.540620.peg.6862	Yes	Streptomyces_sp._CC226D	NRPS	3	3	amychelin | NRP	12
fig|6666666.540754.peg.1451	Yes	Streptomyces_sp._CC224E	T1PKS	13	1	divergolide A | divergolide B | divergolide C | divergolide D | Polyketide:Modular type I	10
fig|6666666.540754.peg.5695	Yes	Streptomyces_sp._CC224E	T1PKS	38	1	7-deoxypactamycin | Polyketide:Iterative type I + Saccharide:Hybrid/tailoring	13
fig|6666666.563201.peg.1297	Yes	Streptomyces_sp._CC216C	NRPS	15	1	coelichelin | NRP	81
fig|6666666.584549.peg.7748	Yes	Streptomyces_sp._CC213Dhybcontrimo	ectoine	50	1	showdomycin | Other	41
fig|6666666.590941.peg.447	Yes	Streptomyces_lentzea_CC55	terpene	13	2	isorenieratene | Terpene	75
fig|6666666.590941.peg.5482	Yes	Streptomyces_lentzea_CC55	anthracycline	53	1	LL-D49194?1 (LLD) | Polyketide	32
