Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|1823.7.peg.4270	Yes	Nocardia__otitidiscaviarum_sp._CC201C	terpene	359	1	0	0
fig|6666666.540227.peg.2807	Yes	Nocardia_sp._CC227C	NRPS	2	2	A40926 | NRP:Glycopeptide + Saccharide:Hybrid/tailoring	7
fig|6666666.540227.peg.4253	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.4269	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.5821	Yes	Nocardia_sp._CC227C	T1PKS	5	3	monensin | Polyketide	5
fig|6666666.540227.peg.6695	Yes	Nocardia_sp._CC227C	NRPS-like	7	3	BD-12 | NRP	7
fig|6666666.540227.peg.7285	Yes	Nocardia_sp._CC227C	NRPS-like	9	2	0	0
fig|6666666.540227.peg.7291	Yes	Nocardia_sp._CC227C	NRPS-like	9	2	0	0
fig|6666666.540227.peg.906	Yes	Nocardia_sp._CC227C	NRPS	10	1	0	0
fig|6666666.540613.peg.2781	Yes	Nocardia_sp._CC213A	T1PKS	19	1	monensin | Polyketide	5
fig|6666666.540613.peg.3309	Yes	Nocardia_sp._CC213A	NRPS	2	3	A40926 | NRP:Glycopectide + Saccharide:Hybrid/tailoring	5
fig|6666666.540613.peg.3861	Yes	Nocardia_sp._CC213A	butyrolactone	23	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540613.peg.3922	Yes	Nocardia_sp._CC213A	butyrolactone	23	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540613.peg.5979	Yes	Nocardia_sp._CC213A	NRPS	4	1	nocobactin NA | NRP + Polyketide	37
fig|6666666.540613.peg.5995	Yes	Nocardia_sp._CC213A	NRPS	4	1	nocobactin NA | NRP + Polyketide	37
fig|6666666.540613.peg.7067	Yes	Nocardia_sp._CC213A	NRPS	7	2	0	0
fig|6666666.540615.peg.2470	Yes	Nocardia_sp._CC216A	butyrolactone	19	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540615.peg.2532	Yes	Nocardia_sp._CC216A	butyrolactone	19	1	lobosamide A | lobosamide B | lobosamide C | Polyketide	4
fig|6666666.540615.peg.2992	Yes	Nocardia_sp._CC216A	NRPS	2	3	A40926 | NRP:Glycopetide + Saccharide:Hybrid/tailoring	5
fig|6666666.540615.peg.3228	Yes	Nocardia_sp._CC216A	T1PKS	21	1	monensin | Polyketide	5
fig|6666666.540615.peg.4444	Yes	Nocardia_sp._CC216A	NRPS	3	1	amychelin | NRP	18
fig|6666666.540615.peg.5230	Yes	Nocardia_sp._CC216A	NRPS	36	1	0	0
fig|6666666.540615.peg.5246	Yes	Nocardia_sp._CC216A	NRPS	36	1	0	0
fig|6666666.540615.peg.6768	Yes	Nocardia_sp._CC216A	NRPS	6	2	0	0
fig|6666666.540620.peg.10156	Yes	Streptomyces_sp._CC226D	NRPS	49	1	0	0
fig|6666666.540620.peg.1420	Yes	Streptomyces_sp._CC226D	T1PKS	11	2	monensin | Polyketide	5
fig|6666666.540620.peg.14455	Yes	Streptomyces_sp._CC226D	NRPS	88	1	atratumycin | NRP	5
fig|6666666.540620.peg.14473	Yes	Streptomyces_sp._CC226D	NRPS	88	1	atratumycin | NRP	5
fig|6666666.540620.peg.3054	Yes	Streptomyces_sp._CC226D	NRPS	15	1	0	0
fig|6666666.540620.peg.3110	Yes	Streptomyces_sp._CC226D	NRPS	15	1	0	0
fig|6666666.540620.peg.6830	Yes	Streptomyces_sp._CC226D	NRPS-like	3	2	BD-12 | NRP	7
fig|6666666.540621.peg.3294	Yes	Nocardiopsis_sp._CC223A	T1PKS	32	1	0	0
fig|6666666.540621.peg.3327	Yes	Nocardiopsis_sp._CC223A	T1PKS	32	1	0	0
fig|6666666.540621.peg.4508	Yes	Nocardiopsis_sp._CC223A	terpene	5	1	isorenieratene | Terpene	100
fig|6666666.540621.peg.4808	Yes	Nocardiopsis_sp._CC223A	T1PKS	55	1	0	0
fig|6666666.540621.peg.5038	Yes	Nocardiopsis_sp._CC223A	lanthipeptide	6	1	0	0
fig|6666666.540754.peg.1446	Yes	Streptomyces_sp._CC224E	T1PKS	13	1	divergolide A | divergolide B | divergolide C | divergolide D | Polyketide:Modular type I	10
fig|6666666.540754.peg.4217	Yes	Streptomyces_sp._CC224E	NRPS	27	1	bacillibactin | NRP:NRP siderophore	100
fig|6666666.563200.peg.3789	Yes	Streptomyces_sp._CC216B	NRPS	36	1	kanamycin | Saccharide	2
fig|6666666.563202.peg.2743	Yes	Streptomyces_sp._CC224B	lassopeptide	192	1	SSV-2083 | RiPP:Lanthipeptide	54
fig|6666666.563202.peg.6030	Yes	Streptomyces_sp._CC224B	NRPS	50	1	himastatin | NRP	52
fig|6666666.582834.peg.10029	Yes	Streptomyces_sp._CC213Dhyb	NRPS	68	2	daptomycin | NRP	7
fig|6666666.584549.peg.10343	Yes	Streptomyces_sp._CC213Dhybcontrimo	NRPS	61	1	daptomycin | NRP	7
fig|6666666.590941.peg.3364	Yes	Streptomyces_lentzea_CC55	NRPS-like	27	1	indigoidine | Saccharide	6
fig|6666666.590941.peg.7078	Yes	Streptomyces_lentzea_CC55	arylpolyene	68	4	virginiamycin S1 | NRP + Polyketide	22
BGC0000014_ABK32252	No						
BGC0000080_ABK32284	No						
BGC0000413_AAY93396	No						
BGC0001588_WP_004526108	No						
BGC0001589_WP_085964382	No						
