Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|6666666.540227.peg.3507	Yes	Nocardia_sp._CC227C	NRPS	22	1	granaticin | Polyketide:Type II	24
fig|6666666.540227.peg.4229	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.6581	Yes	Nocardia_sp._CC227C	T2PKS	7	2	enterocin | Polyketide:Type II	60
fig|6666666.540612.peg.1007	Yes	Streptomyces_sp._CC210A	NRPS	141	1	thiolutin | NRP	24
fig|6666666.540620.peg.10224	Yes	Streptomyces_sp._CC226D	terpene	5	1	geosmin | Terpene	100
fig|6666666.540620.peg.11221	Yes	Streptomyces_sp._CC226D	NRPS	56	1	sarpeptin A | sarpeptin B | NRP	91
fig|6666666.540620.peg.12183	Yes	Streptomyces_sp._CC226D	anthracycline	63	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	100
fig|6666666.540620.peg.13564	Yes	Streptomyces_sp._CC226D	thioamide-NRP	76	1	atratumycin | NRP	21
fig|6666666.540620.peg.14757	Yes	Streptomyces_sp._CC226D	NRPS	9	2	polyoxypeptin | NRP + Polyketide	8
fig|6666666.540620.peg.1722	Yes	Streptomyces_sp._CC226D	lanthipeptide	117	1	0	0
fig|6666666.540621.peg.2420	Yes	Nocardiopsis_sp._CC223A	butyrolactone	22	1	0	0
fig|6666666.540621.peg.4821	Yes	Nocardiopsis_sp._CC223A	T1PKS	55	1	0	0
fig|6666666.540754.peg.4208	Yes	Streptomyces_sp._CC224E	NRPS	27	1	bacillibactin | NRP:NRP siderophore	100
fig|6666666.540754.peg.6988	Yes	Streptomyces_sp._CC224E	PKS-like	5	1	daptomycin | NRP	7
fig|6666666.540754.peg.7123	Yes	Streptomyces_sp._CC224E	angucycline	50	1	cosmomycin D | Saccharide + Polyketide	12
fig|6666666.563199.peg.1608	Yes	Streptomyces_sp._CC208B	NRPS	1	7	holomycin | NRP	53
fig|6666666.563199.peg.1609	Yes	Streptomyces_sp._CC208B	NRPS	1	7	holomycin | NRP	53
fig|6666666.563200.peg.262	Yes	Streptomyces_sp._CC216B	anthracycline	10	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	100
fig|6666666.563200.peg.4252	Yes	Streptomyces_sp._CC216B	terpene	40	1	geosmin | Terpene	100
fig|6666666.563200.peg.5361	Yes	Streptomyces_sp._CC216B	lanthipeptide	54	1	0	0
fig|6666666.563200.peg.5369	Yes	Streptomyces_sp._CC216B	lanthipeptide	54	1	0	0
fig|6666666.563200.peg.6120	Yes	Streptomyces_sp._CC216B	ladderane	66	1	atratumycin | NRP	18
fig|6666666.563201.peg.2116	Yes	Streptomyces_sp._CC216C	angucycline	193	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	38
fig|6666666.563202.peg.2045	Yes	Streptomyces_sp._CC224B	NRPS	161	1	WAP-8294A2 | NRP	20
fig|6666666.563202.peg.2047	Yes	Streptomyces_sp._CC224B	NRPS	161	1	WAP-8294A2 | NRP	20
fig|6666666.563202.peg.5263	Yes	Streptomyces_sp._CC224B	NRPS	40	1	polyoxypeptin | NRP + Polyketide	37
fig|6666666.563202.peg.5290	Yes	Streptomyces_sp._CC224B	NRPS	40	1	polyoxypeptin | NRP + Polyketide	37
fig|6666666.563202.peg.8226	Yes	Streptomyces_sp._CC224B	NRPS	88	1	diisonitrile antibiotic SF2768 | NRP	11
fig|6666666.563202.peg.8239	Yes	Streptomyces_sp._CC224B	NRPS	88	1	diisonitrile antibiotic SF2768 | NRP	11
fig|6666666.563202.peg.8329	Yes	Streptomyces_sp._CC224B	NRPS	8	1	friulimicin A | friulimicin B | friulimicin C | friulamicin D | NRP	24
fig|6666666.582834.peg.2616	Yes	Streptomyces_sp._CC213Dhyb	terpene	26	1	geosmin | Terpene	100
fig|6666666.582834.peg.6371	Yes	Streptomyces_sp._CC213Dhyb	anthracycline	43	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	88
fig|6666666.582834.peg.7353	Yes	Streptomyces_sp._CC213Dhyb	ladderane	57	1	atratumycin | NRP	10
fig|6666666.582862.peg.6606	Yes	Streptomyces_sp._CC219Ahyb	terpene	284	1	0	0
fig|6666666.582862.peg.7452	Yes	Streptomyces_sp._CC219Ahyb	NRPS	316	1	thiolutin | NRP	16
fig|6666666.584549.peg.3536	Yes	Streptomyces_sp._CC213Dhybcontrimo	T2PKS	26	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	88
fig|6666666.584549.peg.8699	Yes	Streptomyces_sp._CC213Dhybcontrimo	terpene	54	3	geosmin | Terpene	100
fig|6666666.584551.peg.7117	Yes	Streptomyces_sp._CC219Ahybcontrimo	NRPS	41	1	thiolutin | NRP	16
fig|6666666.590938.peg.2101	Yes	Streptomyces_rochei_CC71	NRPS-like	210	1	alanylclavam | 2-hydroxymethylclavam | 2-formyloxymethylclavam | clavam-2-carboxylate | Other:Non-NRP beta-lactam	12
fig|6666666.590938.peg.5946	Yes	Streptomyces_rochei_CC71	indole	61	1	7-prenylisatin | Other	100
fig|6666666.590939.peg.5066	Yes	Streptomyces_rochei_CC48	butyrolactone	473	1	lactonamycin | Polyketide	7
fig|6666666.590939.peg.6103	Yes	Streptomyces_rochei_CC48	indole	633	2	7-prenylisatin | Other	100
fig|6666666.590939.peg.6740	Yes	Streptomyces_rochei_CC48	T1PKS	747	1	vicenistatin | Polyketide	60
fig|6666666.590940.peg.161	Yes	Streptomyces_rochei_CC36	NRPS-like	116	1	alanylclavam | 2-hydroxymethylclavam | 2-formyloxymethylclavam | clavam-2-carboxylate | Other:Non-NRP beta-lactam	0.12
fig|6666666.590940.peg.1688	Yes	Streptomyces_rochei_CC36	T1PKS	185	3	vicenistatin | Polyketide	60
fig|6666666.590940.peg.1958	Yes	Streptomyces_rochei_CC36	butyrolactone	185	4	lactonamycin | Polyketide	7
fig|6666666.590940.peg.6834	Yes	Streptomyces_rochei_CC36	indole	7	1	7-prenylisatin | Other	100
fig|6666666.590940.peg.7090	Yes	Streptomyces_rochei_CC36	NRPS	99	1	CDA1b | CDA2a | CDA2b | CDA3a | CDA3b | CDA4a | CDA4b | NRP:Ca+-dependent lipopeptide	47
fig|6666666.590941.peg.1163	Yes	Streptomyces_lentzea_CC55	PKS-like	19	2	fortimicin | Saccharide	6
fig|6666666.590941.peg.1164	Yes	Streptomyces_lentzea_CC55	PKS-like	19	2	fortimicin | Saccharide	6
fig|6666666.590941.peg.276	Yes	Streptomyces_lentzea_CC55	T1PKS	13	1	butyrolactol A | Polyketide	66
fig|6666666.590941.peg.278	Yes	Streptomyces_lentzea_CC55	T1PKS	13	1	butyrolactol A | Polyketide	66
fig|6666666.590941.peg.3184	Yes	Streptomyces_lentzea_CC55	NRPS	24	1	streptolydigin | NRP + Polyketide:Modular type I + Saccharide:Hybrid/tailoring	10
fig|6666666.590941.peg.3294	Yes	Streptomyces_lentzea_CC55	NRPS	26	1	0	0
fig|6666666.590941.peg.3423	Yes	Streptomyces_lentzea_CC55	terpene	27	2	geosmin | Terpene	100
fig|6666666.590941.peg.3871	Yes	Streptomyces_lentzea_CC55	T1PKS	30	1	maduropeptin | Polyketide:Interative type I + Poliketide:Enediyne type I	28
fig|6666666.590941.peg.5161	Yes	Streptomyces_lentzea_CC55	NRPS	52	1	coelichelin | NRP	72
fig|6666666.590941.peg.5480	Yes	Streptomyces_lentzea_CC55	anthracycline	53	1	LL-D49194?1 (LLD) | Polyketide	32
fig|6666666.590941.peg.5501	Yes	Streptomyces_lentzea_CC55	anthracycline	53	1	LL-D49194?1 (LLD) | Polyketide	32
fig|6666666.590941.peg.5700	Yes	Streptomyces_lentzea_CC55	T1PKS	55	1	vancosamide | Other	100
fig|6666666.590941.peg.6176	Yes	Streptomyces_lentzea_CC55	PKS-like	64	1	xantholipin | Poliketide	12
fig|6666666.590941.peg.6591	Yes	Streptomyces_lentzea_CC55	NRPS-like	68	2	napsamycin A | napsamycin B | napsamycin C | napsamycin D | mureidomycin A | mureidomycin B | NRP:Uridylpeptide + Other:Nucleoside	13
fig|6666666.590941.peg.6717	Yes	Streptomyces_lentzea_CC55	NRPS	68	3	coelibactin | NRP	36
fig|6666666.590941.peg.777	Yes	Streptomyces_lentzea_CC55	thiopeptide	17	1	0	0
fig|6666666.590941.peg.925	Yes	Streptomyces_lentzea_CC55	T3PKS	18	1	alkyl-O-Dihydrogeranyl-methoxyhydroquinones | Terpene + Polyketide	57
