Id	Cluster__autocolor	Organism__autocolor	Product__autocolor	Contig	Cluster	Most_similar_known_cluster__autocolor	Similarity
fig|1823.7.peg.5072	Yes	Nocardia__otitidiscaviarum_sp._CC201C	NRPS	43	1	telomycin | NRP	5
fig|1823.7.peg.5536	Yes	Nocardia__otitidiscaviarum_sp._CC201C	ectoine	485	1	ectoine	100
fig|6666666.540227.peg.3551	Yes	Nocardia_sp._CC227C	NRPS	22	1	granaticin | Polyketide:Type II	24
fig|6666666.540227.peg.4229	Yes	Nocardia_sp._CC227C	NRPS	3	2	atratumycin | NRP	5
fig|6666666.540227.peg.6216	Yes	Nocardia_sp._CC227C	NRPS	6	1	calicheamicin | Polyketide	4
fig|6666666.540227.peg.6581	Yes	Nocardia_sp._CC227C	T2PKS	7	2	enterocin | Polyketide:Type II	60
fig|6666666.540227.peg.7221	Yes	Nocardia_sp._CC227C	ectoine	9	1	ectoine | Other	100
fig|6666666.540227.peg.7278	Yes	Nocardia_sp._CC227C	NRPS-like	9	2	0	0
fig|6666666.540612.peg.1007	Yes	Streptomyces_sp._CC210A	NRPS	141	1	thiolutin | NRP	24
fig|6666666.540612.peg.202	Yes	Streptomyces_sp._CC210A	lanthipeptide	100	1	venezuelin | RiPP:Lanthipeptide	75
fig|6666666.540613.peg.1122	Yes	Nocardia_sp._CC213A	NRPS	11	1	calicheamicin | Polyketide	4
fig|6666666.540613.peg.5398	Yes	Nocardia_sp._CC213A	ectoine	36	1	ectoine | Other	100
fig|6666666.540613.peg.6848	Yes	Nocardia_sp._CC213A	NRPS	7	1	berninamycin A | RiPP	26
fig|6666666.540615.peg.6548	Yes	Nocardia_sp._CC216A	NRPS	6	1	telomycin | NRP	8
fig|6666666.540615.peg.801	Yes	Nocardia_sp._CC216A	NRPS	10	1	calicheamicin | Polyketide	4
fig|6666666.540615.peg.893	Yes	Nocardia_sp._CC216A	ectoine	11	1	eicoine | Other	100
fig|6666666.540620.peg.10335	Yes	Streptomyces_sp._CC226D	NRPS	5	2	streptobactin | NRP	94
fig|6666666.540620.peg.11149	Yes	Streptomyces_sp._CC226D	NRPS	55	1	berninamycin A | RiPP	26
fig|6666666.540620.peg.11221	Yes	Streptomyces_sp._CC226D	NRPS	56	1	sarpeptin A | sarpeptin B | NRP	91
fig|6666666.540620.peg.12183	Yes	Streptomyces_sp._CC226D	anthracycline	63	1	chromomycin A3 | Polyketide:Type II + Saccharide:Oligosaccharide	100
fig|6666666.540620.peg.13252	Yes	Streptomyces_sp._CC226D	lanthipeptide	71	1	chalcomycin A | Polyketide	9
fig|6666666.540620.peg.13564	Yes	Streptomyces_sp._CC226D	thioamide-NRP	76	1	atratumycin | NRP	21
