ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.737887.peg.3152	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.647	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3012	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.3929	Cuatro_cienegas	Intraclusteric	 Streptomyces sp CC208A	terpene	ebelactone
fig|6666666.737887.peg.6602	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737887.peg.4168	Cuatro_cienegas	Intraclusteric	 Streptomyces sp CC208A	NRPS	cosmomycin C
fig|6666666.737887.peg.7148	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737888.peg.4626	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.1434	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.5290	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2232	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.2057	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.737888.peg.5349	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	NRPS	
fig|6666666.737888.peg.7581	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219B		
fig|6666666.540227.peg.2328	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540227.peg.1049	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540227.peg.7350	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540227.peg.1456	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540227.peg.675	Cuatro_cienegas	Intraclusteric	 Nocardia sp. CC227C Nocardia sp. CC227C Nocardia sp. CC227C Nocardia sp. CC227C	NRPS NRPS NRPS NRPS	
fig|6666666.540227.peg.3674	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540227.peg.3170	Cuatro_cienegas	Intraclusteric	 Nocardia sp. CC227C	terpene	
fig|6666666.540612.peg.6657	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.48	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.3400	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.2559	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.1762	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.4661	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.4813	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540612.peg.1030	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540613.peg.839	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540613.peg.5102	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540613.peg.2065	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540613.peg.6310	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540613.peg.3399	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540613.peg.4308	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540615.peg.606	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540615.peg.337	Cuatro_cienegas	Intraclusteric	 Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A Nocardia sp. CC216A	NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like NRPS-like	
fig|6666666.540615.peg.1671	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540615.peg.6994	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540615.peg.1366	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540615.peg.3938	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540620.peg.13281	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.7925	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.5868	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.3871	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.13164	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.12605	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.15025	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540621.peg.4709	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540621.peg.3724	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540621.peg.743	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540621.peg.2722	Cuatro_cienegas	Intraclusteric	 Nocardiopsis sp. CC223A	terpene	2-methylisoborneol
fig|6666666.540621.peg.1434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540621.peg.1569	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540621.peg.3639	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540754.peg.4844	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.5054	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.7364	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC224E	T3PKS terpene	2-methylisoborneol
fig|6666666.540754.peg.851	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.6872	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.1293	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.3839	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.7544	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|6666666.540754.peg.4641	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|1823.7.peg.5263	Cuatro_cienegas	Extraclusteric	Nocardia otitidiscaviarum sp. CC201C		
fig|1823.7.peg.1744	Cuatro_cienegas	Extraclusteric	Nocardia otitidiscaviarum sp. CC201C		
fig|1823.7.peg.716	Cuatro_cienegas	Intraclusteric	 Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C Nocardia otitidiscaviarum sp. CC201C	NRPS NRPS NRPS NRPS NRPS NRPS NRPS NRPS NRPS	
fig|1823.7.peg.109	Cuatro_cienegas	Extraclusteric	Nocardia otitidiscaviarum sp. CC201C		
fig|1823.7.peg.7337	Cuatro_cienegas	Extraclusteric	Nocardia otitidiscaviarum sp. CC201C		
fig|6666666.563199.peg.9245	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.563199.peg.4353	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.563199.peg.147	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.563199.peg.10347	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	terpene T3PKS	flaviolin
fig|6666666.563199.peg.3352	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.563200.peg.4878	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC216B		
fig|6666666.563200.peg.5919	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC216B		
fig|6666666.563201.peg.681	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC216C		
fig|6666666.563201.peg.605	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC216C		
fig|6666666.563202.peg.4370	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.952	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.149	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.5907	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.4349	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.297	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC224B	terpene	ebelactone
fig|6666666.563202.peg.4782	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.1848	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.563202.peg.8192	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224B		
fig|6666666.582834.peg.7675	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhyb		
fig|6666666.582834.peg.12615	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhyb		
fig|6666666.582862.peg.4888	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.9788	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.165	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.7509	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.10026	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219Ahyb	T3PKS terpene	ebelactone
fig|6666666.582862.peg.9157	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.7933	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.584549.peg.10109	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhybcontrimo		
fig|6666666.584549.peg.12604	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhybcontrimo		
fig|6666666.584551.peg.7223	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.584551.peg.9470	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.584551.peg.7170	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.584551.peg.6640	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219Ahybcontrimo	T3PKS terpene	ebelactone
fig|6666666.584551.peg.1828	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.584551.peg.4811	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.590938.peg.1847	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590938.peg.1018	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590938.peg.4716	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590938.peg.5027	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC71	terpene	isorenieratene
fig|6666666.590938.peg.4701	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590938.peg.5075	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590938.peg.2628	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC71		
fig|6666666.590939.peg.7176	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590939.peg.7559	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590939.peg.4975	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590939.peg.6073	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC48	terpene	isorenieratene
fig|6666666.590939.peg.4990	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590939.peg.6023	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590939.peg.588	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC48		
fig|6666666.590940.peg.410	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590940.peg.3166	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590940.peg.4479	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590940.peg.5426	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC36	T1PKS	pladienolide B
fig|6666666.590940.peg.4494	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590940.peg.5475	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590940.peg.5671	Cuatro_cienegas	Extraclusteric	Streptomyces rochei CC36		
fig|6666666.590941.peg.8096	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.5869	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.2925	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.2758	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.7170	Cuatro_cienegas	Intraclusteric	 Streptomyces lentzea CC55		stigmatellin
fig|6666666.590941.peg.2756	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.7167	Cuatro_cienegas	Intraclusteric	 Streptomyces lentzea CC55		stigmatellin
fig|6666666.590941.peg.6494	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.687569.peg.2259	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.687569.peg.42	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.687569.peg.5512	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.687569.peg.4921	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.687569.peg.5814	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.687569.peg.5039	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.691810.peg.2888	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.5020	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.3346	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.5253	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.2264	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.2308	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.5455	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
fig|6666666.691810.peg.5417	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
BGC0000661_ACC81291	MiBIG	Intraclusteric	Nostoc punctiforme PCC 73102	geosmin	Terpene
BGC0001421_orf7	MiBIG	Intraclusteric	Myxococcus sp.	myxochromide B	NRP-Polyketide
BGC0001428_orf8	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001427_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001423_orf7	MiBIG	Intraclusteric	Myxococcus hansupus	myxochromide C	NRP-Polyketide
BGC0001424_orf8	MiBIG	Intraclusteric	Myxococcus virescens	myxochromide C	NRP-Polyketide
BGC0001426_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001692_WP_010845797	MiBIG	Intraclusteric	Xenorhabdus nematophila ATCC 19061	nematophin	NRP
BGC0001425_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001422_orf8	MiBIG	Intraclusteric	Myxococcus fulvus	myxochromide A	NRP-Polyketide
BGC0000657_AEK21531	MiBIG	Intraclusteric	Pseudanabaena sp. dqh15	2-methylisoborneol	Terpene
BGC0000661_ACC81292	MiBIG	Intraclusteric	Nostoc punctiforme PCC 73102	geosmin	Terpene
BGC0001611_ATY69575	MiBIG	Intraclusteric	Streptomyces sp. CB01883	guangnanmycin	NRP-Polyketide
