ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.737887.peg.4055	Cuatro_cienegas	Extraclusteric	Streptomyces sp CC208A		
fig|6666666.737888.peg.3274	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC219B	T3PKS	herboxidiene
fig|6666666.540227.peg.4097	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC227C		
fig|6666666.540612.peg.4514	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540613.peg.4188	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC213A		
fig|6666666.540615.peg.5079	Cuatro_cienegas	Extraclusteric	Nocardia sp. CC216A		
fig|6666666.540620.peg.9405	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540620.peg.679	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC226D		
fig|6666666.540621.peg.4601	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.540754.peg.7452	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC224E		
fig|1823.7.peg.6575	Cuatro_cienegas	Extraclusteric	Nocardia otitidiscaviarum sp. CC201C		
fig|6666666.563200.peg.489	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B Streptomyces sp. CC216B	lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide lanthipeptide	5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester 5-isoprenylindole-3-carboxylate β-D-glycosyl ester
fig|6666666.563201.peg.5193	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC216C		
fig|6666666.582834.peg.10879	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhyb		
fig|6666666.582862.peg.4339	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.582862.peg.2402	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahyb		
fig|6666666.584549.peg.117	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC213Dhybcontrimo		
fig|6666666.584551.peg.4966	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219Ahybcontrimo		
fig|6666666.590938.peg.3693	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC71	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin
fig|6666666.590939.peg.2413	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC48	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin
fig|6666666.590940.peg.2280	Cuatro_cienegas	Intraclusteric	 Streptomyces rochei CC36	T3PKS	herboxidiene
fig|6666666.590941.peg.1725	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.590941.peg.1391	Cuatro_cienegas	Extraclusteric	Streptomyces lentzea CC55		
fig|6666666.687569.peg.4362	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
fig|6666666.691810.peg.4631	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC219CV1		
BGC0000494_ABG48502	MiBIG	Intraclusteric	Streptococcus uberis	uberolysin	RiPP
BGC0000540_AFS60109	MiBIG	Intraclusteric	Paenibacillus polymyxa OSY-DF	paenibacillin	RiPP
BGC0000484_ADV57365	MiBIG	Intraclusteric	Lactobacillus plantarum	glycocin F	RiPP
BGC0000974_CBD77761	MiBIG	Intraclusteric	Chondromyces crocatus	crocacin	NRP-Polyketide
BGC0001559_AIR74922	MiBIG	Intraclusteric	Chondromyces crocatus	crocagin A-crocagin B	RiPP
BGC0000486_AAC69555	MiBIG	Intraclusteric	Butyrivibrio fibrisolvens	butyrivibriocin AR10	RiPP
BGC0000624_ABQ84447	MiBIG	Intraclusteric	Lactobacillus salivarius	salivaricin CRL1328 alpha peptide-salivaricin CRL1328 beta peptide	RiPP
BGC0000619_BAM09401	MiBIG	Intraclusteric	Lactobacillus gasseri	gassericin T	RiPP
BGC0001388_ALX37942	MiBIG	Intraclusteric	Lactobacillus gasseri	gassericin E	RiPP
BGC0001602_BBE52943	MiBIG	Intraclusteric	Lactobacillus gasseri	gassericin-T	RiPP
BGC0000539_BAC98758	MiBIG	Intraclusteric	Staphylococcus warneri	nukacin ISK-1	RiPP
BGC0000488_CAD97576	MiBIG	Intraclusteric	Clostridium beijerinckii	circularin A	RiPP
BGC0001555_YP_002539393	MiBIG	Intraclusteric	Escherichia coli chi7122	colicin V	RiPP
