850239	1823.7
1075668	56099.17
832483	6666666.540227
833218	6666666.540612
833219	6666666.540613
833221	6666666.540615
833228	6666666.540621
833822	6666666.540754
853452	6666666.563199
853466	6666666.563200
853474	6666666.563201
853479	6666666.563202
871248	6666666.582834
871276	6666666.582862
872933	6666666.584549
872934	6666666.584551
882955	6666666.590938
882956	6666666.590939
882957	6666666.590940
882958	6666666.590941
952378	6666666.687569
1002568	6666666.737887
1002571	6666666.737888
1080686	6666666.867955
1080687	6666666.867956
1080688	6666666.867957
1080689	6666666.867958
1080690	6666666.867959
1080691	6666666.867960
1080692	6666666.867961
1080693	6666666.867962
1080694	6666666.867963
1080695	6666666.867964

