ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000233_AAP85343	MiBIG	Intraclusteric	Streptomyces griseoruber	hedamycin	Polyketide
BGC0000226_AAP69588	MiBIG	Intraclusteric	Streptomyces griseoflavus	gilvocarcin	Polyketide
BGC0000376_BAP16696	MiBIG	Intraclusteric	Streptomyces sp. Sp080513GE-23	JBIR-34,JBIR-35	NRP
BGC0000409_AEA29627	MiBIG	Intraclusteric	Streptomyces albus subsp. albus	porothramycin	NRP
BGC0000238_ABX71122	MiBIG	Intraclusteric	Streptomyces rishiriensis	lactonamycin	Polyketide
BGC0000433_CAE02637	MiBIG	Intraclusteric	Bacillus amyloliquefaciens subsp. plantarum str. FZB42	surfactin	NRP
BGC0001676_AVR52588	MiBIG	Intraclusteric	Streptomyces sp. FXJ1.235	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	Alkaloid
BGC0001381_AJO72706	MiBIG	Intraclusteric	Nocardia terpenica	brasilinolide A-brasilinolide B-brasilinolide C	Polyketide
BGC0000163_ACR50758	MiBIG	Intraclusteric	Streptomyces longisporoflavus	tetronasin	Polyketide
BGC0001302_AKC91608	MiBIG	Intraclusteric	Streptomyces lomondensis	lomofungin	Other
BGC0001782_ARP51735	MiBIG	Intraclusteric	Streptomyces sp. SCSIO 03032	spiroindimicins-indimicins-lynamicins	Other
