ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000188_ABI75119	MiBIG	Intraclusteric	Cylindrospermopsis raciborskii T3	saxitoxin	Alkaloid
BGC0000928_ABI75119	MiBIG	Intraclusteric	Cylindrospermopsis raciborskii T3	T3 toxin	Other
BGC0000310_AAD21216	MiBIG	Intraclusteric	Bacillus licheniformis	bacitracin	NRP
BGC0000445_CAJ34389	MiBIG	Intraclusteric	Micromonospora sp. ML1	thiocoraline	NRP
BGC0000714_ACN38369	MiBIG	Intraclusteric	Micromonospora inyonensis	sisomicin	Saccharide
BGC0001308_WP_030267264	MiBIG	Intraclusteric	Streptomyces sp. NRRL B-24484	simocyclinone D9-simocyclinone D10-simocyclinone D11	Polyketide
BGC0000527_CAB60254	MiBIG	Intraclusteric	Bacillus sp. HIL-Y85/54728	mersacidin	RiPP
BGC0000696_CAF31457	MiBIG	Intraclusteric	Micromonospora echinospora	gentamicin	Saccharide
BGC0001603_ARV75734	MiBIG	Intraclusteric	Micromonospora echinospora	gentamicin	Saccharide
BGC0000845_EDY47143	MiBIG	Intraclusteric	Streptomyces clavuligerus ATCC 27064	clavulanic acid	Other
BGC0000223_AEE65494	MiBIG	Intraclusteric	uncultured bacterium BAC AB649/1850	fluostatin	Polyketide
BGC0001352_CUI25689	MiBIG	Intraclusteric	Streptomyces olivaceus	Tu 3010	NRP-Polyketide
