ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000014_ABK32252	MiBIG	Intraclusteric	Sorangium cellulosum	ambruticin	Polyketide
BGC0000080_ABK32284	MiBIG	Intraclusteric	Sorangium cellulosum	jerangolid	Polyketide
BGC0000413_AAY93396	MiBIG	Intraclusteric	Pseudomonas protegens Pf-5	pyoverdine	NRP
BGC0001589_WP_085964382	MiBIG	Intraclusteric	Burkholderia cenocepacia J2315	exopolysaccharides	Saccharide
BGC0001588_WP_004526108	MiBIG	Intraclusteric	Burkholderia pseudomallei 1026b	exopolysaccharides	Saccharide
BGC0001441_ARO49584	MiBIG	Intraclusteric	Streptomyces sp.	belactosin A-belactosin C	Other
BGC0001830_AKG06384	MiBIG	Intraclusteric	Salinispora pacifica	rosamicin-salinipyrone A-pacificanone A	Polyketide
BGC0000291_AAZ23064	MiBIG	Intraclusteric	Streptomyces fradiae	A54145	NRP
BGC0001751_ASA76628	MiBIG	Intraclusteric	Pyxidicoccus sp. MCy9557	pyxipyrrolone A-pyxipyrrolone B	NRP-Polyketide
BGC0001812_ARW71492	MiBIG	Intraclusteric	Micromonospora chalcea subsp. izumensis	tylactone	Polyketide
BGC0000413_AAY93414	MiBIG	Intraclusteric	Pseudomonas protegens Pf-5	pyoverdine	NRP
BGC0000845_EDY47128	MiBIG	Intraclusteric	Streptomyces clavuligerus ATCC 27064	clavulanic acid	Other
BGC0000335_AID65227	MiBIG	Intraclusteric	Cystobacter fuscus	cystomanamides	NRP
BGC0001093_AAY32960	MiBIG	Intraclusteric	Sorangium cellulosum	disorazole	NRP-Polyketide
BGC0001127_CCM43853	MiBIG	Intraclusteric	Janthinobacterium agaricidamnosum	jagaricin	NRP
BGC0001093_AAY32957	MiBIG	Intraclusteric	Sorangium cellulosum	disorazole	NRP-Polyketide
BGC0001653_WP_055480222	MiBIG	Intraclusteric	Microbispora sp. GMKU363	linfuranone B-linfuranone C	Polyketide
BGC0000994_AAF86383	MiBIG	Intraclusteric	Streptomyces hygroscopicus subsp. ascomyceticus	FK520	NRP-Polyketide
BGC0000406_CAJ14055	MiBIG	Intraclusteric	Streptomyces viridochromogenes	phosphinothricin	NRP
BGC0001120_ABC36658	MiBIG	Intraclusteric	Burkholderia thailandensis E264	burkholderic acid	NRP-Polyketide
BGC0000268_CAH10107	MiBIG	Intraclusteric	Streptomyces sp. SCC 2136	Sch47554-Sch47555	Polyketide
BGC0001477_AVV61995	MiBIG	Intraclusteric	Streptomyces sp. ID38640	lydicamycin	NRP-Polyketide
BGC0000462_AFJ23822	MiBIG	Intraclusteric	Pseudomonas putida	WLIP	NRP
BGC0000547_ACX68640	MiBIG	Intraclusteric	Streptococcus salivarius	salivaricin 9	RiPP
BGC0000065_ADE22353	MiBIG	Intraclusteric	Streptomyces galbus	galbonolides	Polyketide
BGC0001055_CAJ87581	MiBIG	Intraclusteric	Escherichia coli	yersiniabactin	NRP-Polyketide
BGC0001196_AJW76701	MiBIG	Intraclusteric	Streptomyces scopuliridis	desotamide	NRP
BGC0001575_WP_020993838	MiBIG	Intraclusteric	Ruminococcus sp. 5_1_39BFAA	dipeptide aldehydes	NRP
BGC0001070_CAN89614	MiBIG	Intraclusteric	Streptomyces collinus Tu 365	kirromycin	NRP-Polyketide
BGC0000429_AEA30291	MiBIG	Intraclusteric	Streptomyces sp. Acta 2897	skyllamycin	NRP
BGC0001707_AQM75225	MiBIG	Intraclusteric	Streptomyces sp.	nosiheptide	RiPP
BGC0000700_CAI60005	MiBIG	Intraclusteric	Streptomyces tenjimariensis	istamycin	Saccharide
BGC0001644_AJQ95709	MiBIG	Intraclusteric	Gynuella sunshinyii YC6258	lacunalides	Polyketide
BGC0001448_ARU08097	MiBIG	Intraclusteric	uncultured bacterium	malacidin	NRP
BGC0000336_AAX31566	MiBIG	Intraclusteric	Streptomyces roseosporus NRRL 11379	daptomycin	NRP
BGC0001101_AAN85544	MiBIG	Intraclusteric	Streptomyces atroolivaceus	leinamycin	NRP-Polyketide
BGC0000065_ADE22346	MiBIG	Intraclusteric	Streptomyces galbus	galbonolides	Polyketide
BGC0000434_BAI63275	MiBIG	Intraclusteric	Streptomyces sp. SNA15896	SW-163	NRP
BGC0000794_AAR99616	MiBIG	Intraclusteric	Geobacillus stearothermophilus	S-layer glycan	Saccharide
BGC0001555_YP_002539321	MiBIG	Intraclusteric	Escherichia coli chi7122	colicin V	RiPP
BGC0001359_CUW01195	MiBIG	Intraclusteric	Streptomyces caniferus	PM100117-PM100118	Polyketide
BGC0000241_ABP54677	MiBIG	Intraclusteric	Salinispora tropica CNB-440	lomaiviticin	Polyketide-Saccharide
BGC0001798_AVV48306	MiBIG	Intraclusteric	Streptomyces sp.	tetrapetalone A-tetrapetalone B-tetrapetalone C-tetrapetalone D	Polyketide
