ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000661_ACC81291	MiBIG	Intraclusteric	Nostoc punctiforme PCC 73102	geosmin	Terpene
BGC0001421_orf7	MiBIG	Intraclusteric	Myxococcus sp.	myxochromide B	NRP-Polyketide
BGC0001428_orf8	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001427_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001423_orf7	MiBIG	Intraclusteric	Myxococcus hansupus	myxochromide C	NRP-Polyketide
BGC0001424_orf8	MiBIG	Intraclusteric	Myxococcus virescens	myxochromide C	NRP-Polyketide
BGC0001426_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001692_WP_010845797	MiBIG	Intraclusteric	Xenorhabdus nematophila ATCC 19061	nematophin	NRP
BGC0001425_orf7	MiBIG	Intraclusteric	Myxococcus xanthus	myxochromide A	NRP-Polyketide
BGC0001422_orf8	MiBIG	Intraclusteric	Myxococcus fulvus	myxochromide A	NRP-Polyketide
BGC0000657_AEK21531	MiBIG	Intraclusteric	Pseudanabaena sp. dqh15	2-methylisoborneol	Terpene
BGC0000661_ACC81292	MiBIG	Intraclusteric	Nostoc punctiforme PCC 73102	geosmin	Terpene
BGC0001611_ATY69575	MiBIG	Intraclusteric	Streptomyces sp. CB01883	guangnanmycin	NRP-Polyketide
BGC0000657_AEK21534	MiBIG	Intraclusteric	Pseudanabaena sp. dqh15	2-methylisoborneol	Terpene
BGC0000761_BAC55132	MiBIG	Intraclusteric	Methylobacillus sp. 12S	exopolysaccharide	Saccharide
BGC0001823_ATY69606	MiBIG	Intraclusteric	Streptomyces sp. CB02120-2	weishanmycin	NRP-Polyketide
BGC0001101_AAN85528	MiBIG	Intraclusteric	Streptomyces atroolivaceus	leinamycin	NRP-Polyketide
BGC0001589_WP_043033125	MiBIG	Intraclusteric	Burkholderia cenocepacia J2315	exopolysaccharides	Saccharide
BGC0000269_ADE34523	MiBIG	Intraclusteric	Streptomyces sp. SF2575	SF2575	Other-Polyketide-Saccharide
BGC0001588_WP_004189328	MiBIG	Intraclusteric	Burkholderia pseudomallei 1026b	exopolysaccharides	Saccharide
BGC0001588_WP_004189279	MiBIG	Intraclusteric	Burkholderia pseudomallei 1026b	exopolysaccharides	Saccharide
BGC0001589_WP_006494985	MiBIG	Intraclusteric	Burkholderia cenocepacia J2315	exopolysaccharides	Saccharide
BGC0000297_CAM59604	MiBIG	Intraclusteric	Planktothrix agardhii NIVA-CYA 126	aeruginoside	NRP-Polyketide-Saccharide
