ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0001055_CAJ87610	MiBIG	Intraclusteric	Escherichia coli	yersiniabactin	NRP-Polyketide
BGC0001728_WP_013310347	MiBIG	Intraclusteric	Paenibacillus polymyxa E681	paenilipoheptin	NRP-Polyketide
BGC0001008_ABY65996	MiBIG	Intraclusteric	Actinomadura madurae	maduropeptin	Polyketide
BGC0001774_AVM80401	MiBIG	Intraclusteric	Streptomyces fimbriatus	septacidin	Other
BGC0001377_AMK92565	MiBIG	Intraclusteric	Streptomyces uncialis	uncialamycin	Polyketide
BGC0001815_AMK92565	MiBIG	Intraclusteric	Streptomyces uncialis	uncialamycin	Polyketide
BGC0000150_ABP55137	MiBIG	Intraclusteric	Salinispora tropica CNB-440	sporolide	NRP-Polyketide
BGC0001584_ANY94467	MiBIG	Intraclusteric	Streptomyces sp. CB02366	C-1027	Polyketide
BGC0000965_AAL06696	MiBIG	Intraclusteric	Streptomyces globisporus	C-1027	Polyketide
BGC0001397_ALU98458	MiBIG	Intraclusteric	Streptomyces globisporus C-1027	lidamycin	NRP-Polyketide
BGC0001728_WP_013310336	MiBIG	Intraclusteric	Paenibacillus polymyxa E681	paenilipoheptin	NRP-Polyketide
BGC0001378_AME18023	MiBIG	Intraclusteric	Streptomyces sp. CB03234	tiancimycin	Polyketide
BGC0001804_AME18023	MiBIG	Intraclusteric	Streptomyces sp. CB03234	tiancimycin	Polyketide
