ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0001433_SCO70333	MiBIG	Intraclusteric	Streptomyces argillaceus	argimycin P	Polyketide
BGC0000151_CAJ88178	MiBIG	Intraclusteric	Streptomyces ambofaciens ATCC 23877	stambomycin	Polyketide-Saccharide
BGC0000182_AAK28504	MiBIG	Intraclusteric	Pseudomonas fluorescens	mupirocin	Polyketide
BGC0001500_AMX23321	MiBIG	Intraclusteric	Actinoallomurus sp. ID145698	allocyclinone	Polyketide
BGC0001480_WP_006890625	MiBIG	Intraclusteric	Methylobacter tundripaludum 21/22	tundrenone	Other
BGC0001172_AHA12085	MiBIG	Intraclusteric	Streptomyces sp. CNH-287	chlorizidine A	NRP-Polyketide
BGC0001674_SFF02673	MiBIG	Intraclusteric	Streptomyces mirabilis	MS-271	RiPP
BGC0000761_BAC41336	MiBIG	Intraclusteric	Methylobacillus sp. 12S	exopolysaccharide	Saccharide
BGC0000952_CBW45649	MiBIG	Intraclusteric	Streptomyces pristinaespiralis	pristinamycin	NRP-Polyketide
BGC0000388_AAU34214	MiBIG	Intraclusteric	Streptomyces hygroscopicus	mannopeptimycin	NRP
BGC0001116_BAF50712	MiBIG	Intraclusteric	Streptomyces virginiae	virginiamycin	NRP-Polyketide
BGC0001731_AIE54172	MiBIG	Intraclusteric	Streptomyces paulus	paulomycin	Other
