ID	Origin__autocolor	Clusteric__autocolor	Organism__autocolor	Product__autocolor	Type__autocolor
fig|6666666.540612.peg.5203	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC210A		
fig|6666666.540621.peg.2434	Cuatro_cienegas	Extraclusteric	Nocardiopsis sp. CC223A		
fig|6666666.563199.peg.4279	Cuatro_cienegas	Intraclusteric	 Streptomyces sp. CC208B	melanin NRPS	istamycin
fig|6666666.563199.peg.6310	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC208B		
fig|6666666.687569.peg.3379	Cuatro_cienegas	Extraclusteric	Streptomyces sp. CC228A		
BGC0000445_CAJ34361	MiBIG	Intraclusteric	Micromonospora sp. ML1	thiocoraline	NRP
BGC0000434_BAI63275	MiBIG	Intraclusteric	Streptomyces sp. SNA15896	SW-163	NRP
BGC0000339_BAE98164	MiBIG	Intraclusteric	Streptomyces lasaliensis	echinomycin	NRP
BGC0000873_CAD62206	MiBIG	Intraclusteric	Saccharothrix mutabilis subsp. capreolus	A201A	Other
BGC0001622_ARG41904	MiBIG	Intraclusteric	Streptomyces sp.	isatropolone A-isotropolone B-isotropolone C	Polyketide
BGC0000717_CAH94371	MiBIG	Intraclusteric	Streptomyces griseus subsp. griseus	streptomycin	Saccharide
BGC0001381_AJO72708	MiBIG	Intraclusteric	Nocardia terpenica	brasilinolide A-brasilinolide B-brasilinolide C	Polyketide
BGC0001647_ONK09693	MiBIG	Intraclusteric	Streptomyces sp. MP131-18	lagunapyrone A-lagunapyrone B-lagunapyrone C	Polyketide
BGC0000340_AHN91931	MiBIG	Intraclusteric	Streptomyces sp. LZ35	echosides	NRP
BGC0000703_BAE95581	MiBIG	Intraclusteric	Streptomyces kanamyceticus	kanamycin	Saccharide
BGC0000262_AHW57785	MiBIG	Intraclusteric	Streptomyces sp. PGA64	rabelomycin	Polyketide-Saccharide
BGC0001818_BAV57437	MiBIG	Intraclusteric	Streptomyces sp. SANK 60404	vazabitide A	NRP
