ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737888.peg.5073	CuatroCienegas	60.3	Streptomyces sp. CC219B	T2PKS bacteriocin		LL-D49194alpha1 (LLD)	18
fig|6666666.540227.peg.7281	CuatroCienegas	17.2	Nocardia sp. CC227C	NRPS-like	NRPS-like		
fig|6666666.540612.peg.6849	CuatroCienegas	558.1	Streptomyces sp. CC210A	butyrolactone	ectoine	showdomycin	47
fig|6666666.540613.peg.7071	CuatroCienegas	5.2	Nocardia sp. CC213A	NRPS	NRPS		
fig|6666666.540615.peg.6772	CuatroCienegas	26.2	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540620.peg.14414	CuatroCienegas	124.1	Streptomyces sp. CC226D	butyrolactone	ectoine	showdomycin	47
fig|6666666.540620.peg.10152	CuatroCienegas	101.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.563201.peg.1297	CuatroCienegas	638.1	Streptomyces sp. CC216C	NRPS	NRPS	coelichelin	81
fig|6666666.584549.peg.7748	CuatroCienegas	31.1	Streptomyces sp. CC213Dhybcontrimo	butyrolactone	ectoine	showdomycin	41
fig|6666666.590941.peg.5482	CuatroCienegas	22.1	Streptomyces lentzea CC946	T2PKS	PKS-like	LL-D49194alpha1 (LLD)	32
fig|6666666.590941.peg.447	CuatroCienegas	32.2	Streptomyces lentzea CC1044	terpene	terpene	isorenieratene	75
BGC0001692_WP_010845797	MiBIG	-	Xenorhabdus nematophila ATCC 19061	NRP	NRP	nematophin	100
BGC0000093_ADC45558	MiBIG	-	Streptomyces nanchangensis	Polyketide	Polyketide	meilingmycin	100
BGC0001532_ATY37601	MiBIG	-	Brevibacillus laterosporus	NRP	NRP	bogorol	100
BGC0001588_WP_004189279	MiBIG	-	Burkholderia pseudomallei 1026b	Saccharide	Saccharide	exopolysaccharides	100
BGC0001106_ABS90464	MiBIG	-	Streptomyces albus	NRP-Polyketide	NRP-Polyketide	oxazolomycin	100
BGC0001589_WP_006494985	MiBIG	-	Burkholderia cenocepacia J2315	Saccharide	Saccharide	exopolysaccharides	100
BGC0000842_AGU42437	MiBIG	-	Streptomyces argenteolus	Other	Other	carbapenem MM 4550	100
BGC0001445_EED49872	MiBIG	-	Aspergillus flavus NRRL3357	NRP-Polyketide	NRP-Polyketide	leporin	100
BGC0001501_APZ79580	MiBIG	-	Fischerella sp. TAU	Alkaloid	Alkaloid	ambiguine	100
BGC0000668_AHI58821	MiBIG	-	Hapalosiphon welwitschii UTEX B 1830	Alkaloid-Terpene	Alkaloid-Terpene	welwitindolinone	100
BGC0000347_CAP20360	MiBIG	-	Streptococcus equi subsp. equi	NRP	NRP	equibactin	100
BGC0000703_BAE95451	MiBIG	-	Streptomyces kanamyceticus	Saccharide	Saccharide	kanamycin	100
BGC0001179_AHL46728	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0001387_AMP46609	MiBIG	-	Streptomyces calvus	Other	Other	nucleocidin	100
BGC0001719_AWM72922	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0001442_ATJ33995	MiBIG	-	Streptomyces sp.	NRP	NRP	actinonin	100
BGC0001497_ATJ33995	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	actinonin	100
BGC0001778_KKZ73240	MiBIG	-	Streptomyces showdoensis	Other	Other	showdomycin	100
BGC0000445_CAJ34385	MiBIG	-	Micromonospora sp. ML1	NRP	NRP	thiocoraline	100
