ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737888.peg.3274	CuatroCienegas	22.2	Streptomyces sp. CC219B	T3PKS	T3PKS	herboxidiene	8
fig|6666666.590938.peg.3693	CuatroCienegas	135.1	Streptomyces rochei CC307	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.590939.peg.2413	CuatroCienegas	255.1	Streptomyces rochei CC422	T3PKS	T3PKS	flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin	33
fig|6666666.590940.peg.2280	CuatroCienegas	53.1	Streptomyces rochei CC821	T3PKS	T3PKS	herboxidiene	8
BGC0000494_ABG48502	MiBIG	-	Streptococcus uberis	RiPP	RiPP	uberolysin	100
BGC0000540_AFS60109	MiBIG	-	Paenibacillus polymyxa OSY-DF	RiPP	RiPP	paenibacillin	100
BGC0000484_ADV57365	MiBIG	-	Lactobacillus plantarum	RiPP	RiPP	glycocin F	100
BGC0000974_CBD77761	MiBIG	-	Chondromyces crocatus	NRP-Polyketide	NRP-Polyketide	crocacin	100
BGC0001559_AIR74922	MiBIG	-	Chondromyces crocatus	RiPP	RiPP	crocagin A-crocagin B	100
BGC0000486_AAC69555	MiBIG	-	Butyrivibrio fibrisolvens	RiPP	RiPP	butyrivibriocin AR10	100
BGC0000624_ABQ84447	MiBIG	-	Lactobacillus salivarius	RiPP	RiPP	salivaricin CRL1328 alpha peptide-salivaricin CRL1328 beta peptide	100
BGC0000619_BAM09401	MiBIG	-	Lactobacillus gasseri	RiPP	RiPP	gassericin T	100
BGC0001388_ALX37942	MiBIG	-	Lactobacillus gasseri	RiPP	RiPP	gassericin E	100
BGC0001602_BBE52943	MiBIG	-	Lactobacillus gasseri	RiPP	RiPP	gassericin-T	100
BGC0000539_BAC98758	MiBIG	-	Staphylococcus warneri	RiPP	RiPP	nukacin ISK-1	100
BGC0000488_CAD97576	MiBIG	-	Clostridium beijerinckii	RiPP	RiPP	circularin A	100
BGC0001555_YP_002539393	MiBIG	-	Escherichia coli chi7122	RiPP	RiPP	colicin V	100
