ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.1062	CuatroCienegas	98.2	Streptomyces sp CC208A	lanthipeptide	lanthipeptide	venezuelin	100
fig|6666666.737887.peg.5652	CuatroCienegas	100.1	Streptomyces sp CC208A	NRPS	NRPS	rustmicin	6
fig|6666666.737888.peg.7481	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.1151	CuatroCienegas	57.1	Streptomyces sp. CC219B	terpene	terpene	carotenoid	63
fig|6666666.737888.peg.225	CuatroCienegas	52.2	Streptomyces sp. CC219B	NRPS	melanin	istamycin	5
fig|6666666.737888.peg.7915	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.737888.peg.572	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.540227.peg.4249	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.4275	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.1382	CuatroCienegas	43.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.3049	CuatroCienegas	37.4	Nocardia sp. CC227C	NRPS	NRPS	lugdunomycin	11
fig|6666666.540227.peg.6602	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.540227.peg.3523	CuatroCienegas	40.1	Nocardia sp. CC227C	T2PKS	NRPS	granaticin	24
fig|6666666.540227.peg.6249	CuatroCienegas	33.1	Nocardia sp. CC227C	NRPS	NRPS	calicheamicin	4
fig|6666666.540227.peg.4788	CuatroCienegas	23.1	Nocardia sp. CC227C	NRPS	NRPS	isorenieratene	18
fig|6666666.540227.peg.6230	CuatroCienegas	33.1	Nocardia sp. CC227C	NRPS	NRPS	calicheamicin	4
fig|6666666.540227.peg.2056	CuatroCienegas	13.1	Nocardia sp. CC227C	NRPS	NRPS	nataxazole	11
fig|6666666.540227.peg.2934	CuatroCienegas	37.3	Nocardia sp. CC227C	NRPS	NRPS	heterobactin A / heterobactin S2	63
fig|6666666.540613.peg.6000	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
fig|6666666.540613.peg.3915	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.5973	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
fig|6666666.540613.peg.6234	CuatroCienegas	36.1	Nocardia sp. CC213A	NRPS	NRPS	prodigiosin	12
fig|6666666.540613.peg.1087	CuatroCienegas	14.1	Nocardia sp. CC213A	NRPS	NRPS	calicheamicin	4
fig|6666666.540613.peg.7067	CuatroCienegas	5.2	Nocardia sp. CC213A	NRPS	NRPS		
fig|6666666.540613.peg.1301	CuatroCienegas	21.1	Nocardia sp. CC213A	NRPS	bacteriocin	isorenieratene	18
fig|6666666.540613.peg.1107	CuatroCienegas	14.1	Nocardia sp. CC213A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.5250	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.2525	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.5224	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.7070	CuatroCienegas	40.1	Nocardia sp. CC216A	NRPS	NRPS	prodigiosin	12
fig|6666666.540615.peg.835	CuatroCienegas	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
