ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.2405	CuatroCienegas	2.2	Streptomyces sp CC208A	NRPS-like	NRPS-like	ulleungmycin	8
fig|6666666.737887.peg.2912	CuatroCienegas	95.1	Streptomyces sp CC208A	terpene	terpene	hopene	69
fig|6666666.737888.peg.572	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.5102	CuatroCienegas	60.3	Streptomyces sp. CC219B	T2PKS bacteriocin		LL-D49194alpha1 (LLD)	18
fig|6666666.540227.peg.2807	CuatroCienegas	37.2	Nocardia sp. CC227C	NRPS	NRPS	A40926	7
fig|6666666.540227.peg.6695	CuatroCienegas	44.3	Nocardia sp. CC227C	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540227.peg.4253	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.7285	CuatroCienegas	17.2	Nocardia sp. CC227C	NRPS-like	NRPS-like		
fig|6666666.540227.peg.7291	CuatroCienegas	17.2	Nocardia sp. CC227C	NRPS-like	NRPS-like		
fig|6666666.540227.peg.5821	CuatroCienegas	1.3	Nocardia sp. CC227C	T1PKS	T1PKS	monensin	5
fig|6666666.540227.peg.4269	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.906	CuatroCienegas	14.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540613.peg.3309	CuatroCienegas	15.3	Nocardia sp. CC213A	NRPS	NRPS	A40926	5
fig|6666666.540613.peg.271	CuatroCienegas	30.1	Nocardia sp. CC213A	NRPS	NRPS-like	amychelin	18
fig|6666666.540613.peg.5995	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
fig|6666666.540613.peg.3922	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.3861	CuatroCienegas	19.1	Nocardia sp. CC213A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540613.peg.2781	CuatroCienegas	16.1	Nocardia sp. CC213A	T1PKS	T1PKS	monensin	5
fig|6666666.540613.peg.5979	CuatroCienegas	40.1	Nocardia sp. CC213A	NRPS	NRPS	nocobactin NA	37
fig|6666666.540613.peg.7067	CuatroCienegas	5.2	Nocardia sp. CC213A	NRPS	NRPS		
fig|6666666.540615.peg.2992	CuatroCienegas	50.3	Nocardia sp. CC216A	NRPS	NRPS	A40926	5
fig|6666666.540615.peg.4444	CuatroCienegas	24.1	Nocardia sp. CC216A	NRPS	NRPS	amychelin	18
fig|6666666.540615.peg.5246	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.2532	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.2470	CuatroCienegas	37.1	Nocardia sp. CC216A	NRPS	NRPS	lobosamide A / lobosamide B / lobosamide C	4
fig|6666666.540615.peg.3228	CuatroCienegas	12.1	Nocardia sp. CC216A	T1PKS	T1PKS	monensin	5
fig|6666666.540615.peg.5230	CuatroCienegas	39.1	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540615.peg.6768	CuatroCienegas	26.2	Nocardia sp. CC216A	NRPS	NRPS		
fig|6666666.540620.peg.6830	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.14455	CuatroCienegas	200.1	Streptomyces sp. CC226D	NRPS	NRPS	atratumycin	5
fig|6666666.540620.peg.3054	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.3110	CuatroCienegas	92.1	Streptomyces sp. CC226D	terpene	terpene		
fig|6666666.540620.peg.1420	CuatroCienegas	99.2	Streptomyces sp. CC226D	T1PKS	T1PKS	monensin	5
fig|6666666.540620.peg.14473	CuatroCienegas	200.1	Streptomyces sp. CC226D	NRPS	NRPS	atratumycin	5
fig|6666666.540620.peg.10156	CuatroCienegas	101.1	Streptomyces sp. CC226D	NRPS	NRPS		
fig|6666666.540621.peg.3327	CuatroCienegas	23.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.5038	CuatroCienegas	37.1	Nocardiopsis sp. CC223A	lanthipeptide	lanthipeptide		
fig|6666666.540621.peg.4808	CuatroCienegas	158.1	Nocardiopsis sp. CC223A	T1PKS	T1PKS		
fig|6666666.540621.peg.4508	CuatroCienegas	95.1	Nocardiopsis sp. CC223A	terpene	terpene	isorenieratene	100
fig|6666666.540754.peg.1446	CuatroCienegas	6.1	Streptomyces sp. CC224E	T1PKS	T1PKS	divergolide A / divergolide B / divergolide C / divergolide D	10
fig|1823.7.peg.4270	CuatroCienegas	159.1	Nocardia otitidiscaviarum sp. CC201C	terpene	terpene		
fig|6666666.563200.peg.3789	CuatroCienegas	2.1	Streptomyces sp. CC216B	NRPS	T1PKS	kanamycin	2
fig|6666666.563202.peg.6030	CuatroCienegas	167.1	Streptomyces sp. CC224B	NRPS	other	himastatin	52
fig|6666666.563202.peg.2743	CuatroCienegas	24.1	Streptomyces sp. CC224B	lassopeptide	lassopeptide	SSV-2083	54
fig|6666666.584549.peg.10343	CuatroCienegas	44.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	daptomycin	7
fig|6666666.590941.peg.3364	CuatroCienegas	7.1	Streptomyces lentzea CC660	NRPS-like	NRPS-like	indigoidine	6
fig|6666666.590941.peg.7078	CuatroCienegas	1.4	Streptomyces lentzea CC297	PKS-like	arylpolyene	virginiamycin S1	22
BGC0000014_ABK32252	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	ambruticin	100
BGC0000080_ABK32284	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	jerangolid	100
BGC0000413_AAY93396	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0001589_WP_085964382	MiBIG	-	Burkholderia cenocepacia J2315	Saccharide	Saccharide	exopolysaccharides	100
BGC0001588_WP_004526108	MiBIG	-	Burkholderia pseudomallei 1026b	Saccharide	Saccharide	exopolysaccharides	100
BGC0001441_ARO49584	MiBIG	-	Streptomyces sp.	Other	Other	belactosin A-belactosin C	100
BGC0001830_AKG06384	MiBIG	-	Salinispora pacifica	Polyketide	Polyketide	rosamicin-salinipyrone A-pacificanone A	100
BGC0000291_AAZ23064	MiBIG	-	Streptomyces fradiae	NRP	NRP	A54145	100
BGC0001751_ASA76628	MiBIG	-	Pyxidicoccus sp. MCy9557	NRP-Polyketide	NRP-Polyketide	pyxipyrrolone A-pyxipyrrolone B	100
BGC0001812_ARW71492	MiBIG	-	Micromonospora chalcea subsp. izumensis	Polyketide	Polyketide	tylactone	100
BGC0000413_AAY93414	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0000845_EDY47128	MiBIG	-	Streptomyces clavuligerus ATCC 27064	Other	Other	clavulanic acid	100
BGC0000335_AID65227	MiBIG	-	Cystobacter fuscus	NRP	NRP	cystomanamides	100
BGC0001093_AAY32960	MiBIG	-	Sorangium cellulosum	NRP-Polyketide	NRP-Polyketide	disorazole	100
BGC0001127_CCM43853	MiBIG	-	Janthinobacterium agaricidamnosum	NRP	NRP	jagaricin	100
BGC0001093_AAY32957	MiBIG	-	Sorangium cellulosum	NRP-Polyketide	NRP-Polyketide	disorazole	100
BGC0001653_WP_055480222	MiBIG	-	Microbispora sp. GMKU363	Polyketide	Polyketide	linfuranone B-linfuranone C	100
BGC0000994_AAF86383	MiBIG	-	Streptomyces hygroscopicus subsp. ascomyceticus	NRP-Polyketide	NRP-Polyketide	FK520	100
BGC0000406_CAJ14055	MiBIG	-	Streptomyces viridochromogenes	NRP	NRP	phosphinothricin	100
BGC0001120_ABC36658	MiBIG	-	Burkholderia thailandensis E264	NRP-Polyketide	NRP-Polyketide	burkholderic acid	100
BGC0000268_CAH10107	MiBIG	-	Streptomyces sp. SCC 2136	Polyketide	Polyketide	Sch47554-Sch47555	100
BGC0001477_AVV61995	MiBIG	-	Streptomyces sp. ID38640	NRP-Polyketide	NRP-Polyketide	lydicamycin	100
BGC0000462_AFJ23822	MiBIG	-	Pseudomonas putida	NRP	NRP	WLIP	100
BGC0000547_ACX68640	MiBIG	-	Streptococcus salivarius	RiPP	RiPP	salivaricin 9	100
BGC0000065_ADE22353	MiBIG	-	Streptomyces galbus	Polyketide	Polyketide	galbonolides	100
BGC0001055_CAJ87581	MiBIG	-	Escherichia coli	NRP-Polyketide	NRP-Polyketide	yersiniabactin	100
BGC0001196_AJW76701	MiBIG	-	Streptomyces scopuliridis	NRP	NRP	desotamide	100
BGC0001575_WP_020993838	MiBIG	-	Ruminococcus sp. 5_1_39BFAA	NRP	NRP	dipeptide aldehydes	100
BGC0001070_CAN89614	MiBIG	-	Streptomyces collinus Tu 365	NRP-Polyketide	NRP-Polyketide	kirromycin	100
BGC0000429_AEA30291	MiBIG	-	Streptomyces sp. Acta 2897	NRP	NRP	skyllamycin	100
BGC0001707_AQM75225	MiBIG	-	Streptomyces sp.	RiPP	RiPP	nosiheptide	100
BGC0000700_CAI60005	MiBIG	-	Streptomyces tenjimariensis	Saccharide	Saccharide	istamycin	100
