ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.7096	CuatroCienegas	36.1	Streptomyces sp CC208A	bacteriocin	bacteriocin		
fig|6666666.737887.peg.2201	CuatroCienegas	2.1	Streptomyces sp CC208A	NRPS	NRPS	surugamide A / surugamide D	14
fig|6666666.737888.peg.7917	CuatroCienegas	24.1	Streptomyces sp. CC219B	T3PKS	T3PKS	formicamycins A-M	13
fig|6666666.540227.peg.2807	CuatroCienegas	37.2	Nocardia sp. CC227C	NRPS	NRPS	A40926	7
fig|6666666.540227.peg.2382	CuatroCienegas	42.1	Nocardia sp. CC227C	T1PKS	T1PKS		
fig|6666666.540227.peg.596	CuatroCienegas	3.4	Nocardia sp. CC227C	arylpolyene	T3PKS		
fig|6666666.540613.peg.3309	CuatroCienegas	15.3	Nocardia sp. CC213A	NRPS	NRPS	A40926	5
fig|6666666.540613.peg.3276	CuatroCienegas	15.3	Nocardia sp. CC213A	NRPS	NRPS	A40926	5
fig|6666666.540615.peg.2992	CuatroCienegas	50.3	Nocardia sp. CC216A	NRPS	NRPS	A40926	5
fig|6666666.540615.peg.2959	CuatroCienegas	50.3	Nocardia sp. CC216A	NRPS	NRPS	A40926	5
fig|6666666.540620.peg.8470	CuatroCienegas	144.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	carbapenem MM4550	6
fig|6666666.540621.peg.4854	CuatroCienegas	173.1	Nocardiopsis sp. CC223A	NRPS	NRPS	amycolamycin A / amycolamycin B	18
fig|6666666.540754.peg.6985	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.563199.peg.10207	CuatroCienegas	1.15	Streptomyces sp. CC208B	thiopeptide	LAP	thiomuracin	16
fig|6666666.563200.peg.3799	CuatroCienegas	2.1	Streptomyces sp. CC216B	NRPS	T1PKS	kanamycin	2
fig|6666666.563200.peg.6158	CuatroCienegas	1.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide	carbapenem MM4550	6
fig|6666666.563201.peg.581	CuatroCienegas	180.1	Streptomyces sp. CC216C	lanthipeptide	lanthipeptide		
fig|6666666.563202.peg.2047	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.563202.peg.4938	CuatroCienegas	226.1	Streptomyces sp. CC224B	terpene	terpene	zorbamycin	8
fig|6666666.584549.peg.10359	CuatroCienegas	44.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	daptomycin	7
fig|6666666.590940.peg.319	CuatroCienegas	8.2	Streptomyces rochei CC250	lanthidin	lanthidin		
fig|6666666.590941.peg.3169	CuatroCienegas	51.1	Streptomyces lentzea CC1330	NRPS	NRPS	streptolydigin	10
fig|6666666.590941.peg.5978	CuatroCienegas	36.2	Streptomyces lentzea CC1194	terpene	terpene	2-methylisoborneol	50
BGC0000413_AAY93414	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0000462_AFJ23822	MiBIG	-	Pseudomonas putida	NRP	NRP	WLIP	100
BGC0000014_ABK32252	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	ambruticin	100
BGC0000080_ABK32284	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	jerangolid	100
BGC0001588_WP_004526108	MiBIG	-	Burkholderia pseudomallei 1026b	Saccharide	Saccharide	exopolysaccharides	100
BGC0001589_WP_085964382	MiBIG	-	Burkholderia cenocepacia J2315	Saccharide	Saccharide	exopolysaccharides	100
BGC0001120_ABC36658	MiBIG	-	Burkholderia thailandensis E264	NRP-Polyketide	NRP-Polyketide	burkholderic acid	100
BGC0000413_AAY93396	MiBIG	-	Pseudomonas protegens Pf-5	NRP	NRP	pyoverdine	100
BGC0001093_AAY32960	MiBIG	-	Sorangium cellulosum	NRP-Polyketide	NRP-Polyketide	disorazole	100
BGC0001093_AAY32957	MiBIG	-	Sorangium cellulosum	NRP-Polyketide	NRP-Polyketide	disorazole	100
BGC0000014_ABK32246	MiBIG	-	Sorangium cellulosum	Polyketide	Polyketide	ambruticin	100
BGC0001056_CCM44343	MiBIG	-	Serratia plymuthica RVH1	NRP-Other-Polyketide	NRP-Other-Polyketide	zeamine	100
BGC0001521_ABX02680	MiBIG	-	Herpetosiphon aurantiacus DSM 785	NRP	NRP	auriculamide	100
BGC0001591_AEQ20524	MiBIG	-	uncultured bacterium CSLC2	Other	Other	fatty acid enol ester	100
BGC0001688_AEQ20524	MiBIG	-	uncultured bacterium CSLC2	Other	Other	N-tetradecanoyl tyrosine	100
BGC0001195_AJW65403	MiBIG	-	Nocardiopsis sp. CMB-M0232	NRP-Polyketide	NRP-Polyketide	nocardiopsin	100
BGC0000700_CAH60133	MiBIG	-	Streptomyces tenjimariensis	Saccharide	Saccharide	istamycin	100
BGC0001122_EAU38966	MiBIG	-	Aspergillus terreus NIH2624	NRP-Polyketide	NRP-Polyketide	isoflavipucine	100
BGC0000316_ABR67770	MiBIG	-	Saccharothrix mutabilis subsp. capreolus	NRP	NRP	capreomycin	100
BGC0000033_AAM94782	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	calicheamicin	100
BGC0001288_BAQ25494	MiBIG	-	Micromonospora sp. GMKU326	Polyketide	Polyketide	maklamicin	100
BGC0001208_AGE25477	MiBIG	-	Pseudomonas poae RE*1-1-14	NRP	NRP	poaeamide	100
BGC0001582_AIW58895	MiBIG	-	Nonomuraea sp. MJM5123	NRP	NRP	ecumicin	100
BGC0000336_AAX31577	MiBIG	-	Streptomyces roseosporus NRRL 11379	NRP	NRP	daptomycin	100
BGC0000558_AAC63532	MiBIG	-	Bacillus subtilis subsp. subtilis str. 168	RiPP	RiPP	sublancin 168	100
BGC0000595_NP_626692	MiBIG	-	Streptomyces coelicolor A3(2)	RiPP	RiPP	SCO-2138	100
BGC0000596_WP_003976356	MiBIG	-	Streptomyces lividans TK24	RiPP	RiPP	SLI-2138	100
BGC0000380_ADZ25014	MiBIG	-	Sorangium cellulosum	NRP-Polyketide	NRP-Polyketide	leupyrrin	100
