ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.1941	CuatroCienegas	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.5662	CuatroCienegas	100.1	Streptomyces sp CC208A	NRPS	NRPS	rustmicin	6
fig|6666666.737888.peg.3990	CuatroCienegas	11.1	Streptomyces sp. CC219B	NRPS	NRPS	thiocoraline	21
fig|6666666.737888.peg.5802	CuatroCienegas	28.1	Streptomyces sp. CC219B	lanthipeptide	lanthipeptide		
fig|6666666.737888.peg.1925	CuatroCienegas	95.1	Streptomyces sp. CC219B	T1PKS	butyrolactone	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	63
fig|6666666.737888.peg.4006	CuatroCienegas	11.1	Streptomyces sp. CC219B	NRPS	NRPS	thiocoraline	21
fig|6666666.737888.peg.1908	CuatroCienegas	95.1	Streptomyces sp. CC219B	T1PKS	butyrolactone	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	63
fig|6666666.737888.peg.2165	CuatroCienegas	93.1	Streptomyces sp. CC219B	indole	indole	7-prenylisatin	60
fig|6666666.737888.peg.1240	CuatroCienegas	96.1	Streptomyces sp. CC219B	NRPS	NRPS	pepticinnamin E	6
fig|6666666.737888.peg.4927	CuatroCienegas	60.2	Streptomyces sp. CC219B	T1PKS	T1PKS	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	42
fig|6666666.737888.peg.1242	CuatroCienegas	96.1	Streptomyces sp. CC219B	NRPS	NRPS	pepticinnamin E	6
fig|6666666.737888.peg.4035	CuatroCienegas	11.1	Streptomyces sp. CC219B	NRPS	NRPS	thiocoraline	21
fig|6666666.540227.peg.7221	CuatroCienegas	17.1	Nocardia sp. CC227C	ectoine	ectoine	ectoine	100
fig|6666666.540227.peg.7278	CuatroCienegas	17.2	Nocardia sp. CC227C	NRPS-like	NRPS-like		
fig|6666666.540227.peg.6216	CuatroCienegas	33.1	Nocardia sp. CC227C	NRPS	NRPS	calicheamicin	4
fig|6666666.540227.peg.6581	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.540227.peg.4229	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.3551	CuatroCienegas	40.1	Nocardia sp. CC227C	T2PKS	NRPS	granaticin	24
fig|6666666.540612.peg.1007	CuatroCienegas	157.1	Streptomyces sp. CC210A	NRPS	NRPS	thiolutin	24
fig|6666666.540613.peg.5398	CuatroCienegas	47.1	Nocardia sp. CC213A	ectoine	ectoine	ectoine	100
fig|6666666.540613.peg.1122	CuatroCienegas	14.1	Nocardia sp. CC213A	NRPS	NRPS	calicheamicin	4
fig|6666666.540613.peg.6848	CuatroCienegas	5.1	Nocardia sp. CC213A	NRPS	NRPS	berninamycin A	26
fig|6666666.540615.peg.893	CuatroCienegas	16.1	Nocardia sp. CC216A	ectoine	ectoine	ectoine	100
fig|6666666.540615.peg.801	CuatroCienegas	19.1	Nocardia sp. CC216A	NRPS	NRPS	calicheamicin	4
fig|6666666.540615.peg.6548	CuatroCienegas	26.1	Nocardia sp. CC216A	NRPS	NRPS	telomycin	8
fig|6666666.540620.peg.10335	CuatroCienegas	185.2	Streptomyces sp. CC226D	NRPS	NRPS	streptobactin	94
fig|6666666.540620.peg.3177	CuatroCienegas	92.2	Streptomyces sp. CC226D	ectoine	ectoine	ectoine	100
fig|6666666.540620.peg.8459	CuatroCienegas	144.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide	carbapenem MM4550	6
fig|6666666.540620.peg.318	CuatroCienegas	108.1	Streptomyces sp. CC226D	NRPS	NRPS	calicheamicin	4
fig|6666666.540620.peg.13252	CuatroCienegas	4.1	Streptomyces sp. CC226D	lanthipeptide		chalcomycin A	9
fig|6666666.540620.peg.13564	CuatroCienegas	31.1	Streptomyces sp. CC226D	thioamide-NRP	NRPS	atratumycin	21
fig|6666666.540620.peg.14757	CuatroCienegas	85.2	Streptomyces sp. CC226D	NRPS	NRPS	polyoxypeptin	8
fig|6666666.540620.peg.12183	CuatroCienegas	107.1	Streptomyces sp. CC226D	T2PKS	oligosaccharide	chromomycin A3	100
fig|6666666.540620.peg.11221	CuatroCienegas	194.1	Streptomyces sp. CC226D	NRPS	NRPS	sarpeptin A / sarpeptin B	91
fig|6666666.540620.peg.1722	CuatroCienegas	177.1	Streptomyces sp. CC226D	lanthipeptide	lanthipeptide		
fig|6666666.540620.peg.11149	CuatroCienegas	158.1	Streptomyces sp. CC226D	NRPS	NRPS	berninamycin A	26
fig|6666666.540621.peg.2420	CuatroCienegas	101.1	Nocardiopsis sp. CC223A	butyrolactone	butyrolactone		
fig|6666666.540754.peg.7821	CuatroCienegas	33.3	Streptomyces sp. CC224E	T2PKS	butyrolactone	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	56
fig|6666666.540754.peg.6988	CuatroCienegas	8.1	Streptomyces sp. CC224E	other	PKS-like	daptomycin	7
fig|6666666.540754.peg.4208	CuatroCienegas	51.1	Streptomyces sp. CC224E	T1PKS	NRPS	bacillibactin	100
fig|6666666.540754.peg.7123	CuatroCienegas	48.1	Streptomyces sp. CC224E	PKS-like	T2PKS	cosmomycin D	12
fig|1823.7.peg.5536	CuatroCienegas	595.1	Nocardia otitidiscaviarum sp. CC201C	ectoine	ectoine	ectoine	100
fig|1823.7.peg.5072	CuatroCienegas	501.1	Nocardia otitidiscaviarum sp. CC201C	NRPS	NRPS	telomycin	5
fig|6666666.563199.peg.10206	CuatroCienegas	1.15	Streptomyces sp. CC208B	thiopeptide	LAP	thiomuracin	16
fig|6666666.563200.peg.2790	CuatroCienegas	70.1	Streptomyces sp. CC216B	NRPS	NRPS	coelichelin	81
fig|6666666.563200.peg.6169	CuatroCienegas	1.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide	carbapenem MM4550	6
fig|6666666.563200.peg.113	CuatroCienegas	110.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide	chalcomycin A	9
fig|6666666.563200.peg.6120	CuatroCienegas	38.1	Streptomyces sp. CC216B	ladderane	ladderane	atratumycin	18
fig|6666666.563200.peg.262	CuatroCienegas	111.1	Streptomyces sp. CC216B	T2PKS	oligosaccharide	chromomycin A3	100
fig|6666666.563200.peg.5369	CuatroCienegas	79.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide		
fig|6666666.563200.peg.5361	CuatroCienegas	79.1	Streptomyces sp. CC216B	lanthipeptide	lanthipeptide		
fig|6666666.563201.peg.4530	CuatroCienegas	663.1	Streptomyces sp. CC216C	lanthipeptide	lanthipeptide	chalcomycin A	9
fig|6666666.563201.peg.2116	CuatroCienegas	17.1	Streptomyces sp. CC216C	T2PKS	T2PKS	chromomycin A3	38
fig|6666666.563202.peg.8087	CuatroCienegas	151.1	Streptomyces sp. CC224B	T2PKS	T2PKS	setomimycin	86
fig|6666666.563202.peg.8239	CuatroCienegas	96.1	Streptomyces sp. CC224B	T1PKS	T1PKS	diisonitrile antibiotic SF2768	11
fig|6666666.563202.peg.2045	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.563202.peg.8329	CuatroCienegas	84.1	Streptomyces sp. CC224B	NRPS	ladderane	friulimicin A / friulimicin B / friulimicin C / friulimicin D	24
fig|6666666.563202.peg.8226	CuatroCienegas	96.1	Streptomyces sp. CC224B	T1PKS	T1PKS	diisonitrile antibiotic SF2768	11
fig|6666666.563202.peg.5290	CuatroCienegas	146.1	Streptomyces sp. CC224B	other	NRPS	polyoxypeptin	37
fig|6666666.563202.peg.2047	CuatroCienegas	215.1	Streptomyces sp. CC224B	NRPS	NRPS	WAP-8294A2	20
fig|6666666.563202.peg.5263	CuatroCienegas	146.1	Streptomyces sp. CC224B	other	NRPS	polyoxypeptin	37
fig|6666666.563202.peg.8023	CuatroCienegas	49.1	Streptomyces sp. CC224B	NRPS-like	T1PKS	marineosin A / marineosin B	77
fig|6666666.584549.peg.8493	CuatroCienegas	24.2	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	streptobactin	94
fig|6666666.584549.peg.11927	CuatroCienegas	23.1	Streptomyces sp. CC213Dhybcontrimo	NRPS	NRPS	sarpeptin A / sarpeptin B	83
fig|6666666.584551.peg.8647	CuatroCienegas	265.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	ulleungmycin	8
fig|6666666.584551.peg.7117	CuatroCienegas	187.1	Streptomyces sp. CC219Ahybcontrimo	NRPS	NRPS	thiolutin	16
fig|6666666.590938.peg.7508	CuatroCienegas	168.1	Streptomyces rochei CC408	T2PKS	T2PKS	spore pigment	66
fig|6666666.590938.peg.5946	CuatroCienegas	78.1	Streptomyces rochei CC198	indole	indole	7-prenylisatin	100
fig|6666666.590938.peg.2101	CuatroCienegas	176.1	Streptomyces rochei CC505	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590939.peg.5066	CuatroCienegas	381.1	Streptomyces rochei CC655	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.6740	CuatroCienegas	205.1	Streptomyces rochei CC397	T1PKS	T1PKS	vicenistatin	60
fig|6666666.590939.peg.6103	CuatroCienegas	280.2	Streptomyces rochei CC474	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.3185	CuatroCienegas	2.2	Streptomyces rochei CC57	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.2659	CuatroCienegas	6.1	Streptomyces rochei CC171	T2PKS	T2PKS	fluostatins M-Q	60
fig|6666666.590940.peg.1958	CuatroCienegas	42.4	Streptomyces rochei CC685	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590940.peg.1688	CuatroCienegas	42.3	Streptomyces rochei CC681	T1PKS	T1PKS	vicenistatin	60
fig|6666666.590940.peg.7090	CuatroCienegas	26.1	Streptomyces rochei CC585	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	47
fig|6666666.590940.peg.6834	CuatroCienegas	43.1	Streptomyces rochei CC698	indole	indole	7-prenylisatin	100
fig|6666666.590940.peg.161	CuatroCienegas	8.1	Streptomyces rochei CC203	NRPS-like	NRPS-like	alanylclavam / 2-hydroxymethylclavam / 2-formyloxymethylclavam / clavam-2-carboxylate	12
fig|6666666.590941.peg.4157	CuatroCienegas	2.1	Streptomyces lentzea CC399	NRPS-like	NRPS-like		
fig|6666666.590941.peg.6191	CuatroCienegas	6.1	Streptomyces lentzea CC503	NRPS-like	PKS-like	xantholipin	12
fig|6666666.590941.peg.777	CuatroCienegas	49.1	Streptomyces lentzea CC1301	LAP	thiopeptide		
