ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.1937	CuatroCienegas	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.2211	CuatroCienegas	2.1	Streptomyces sp CC208A	NRPS	NRPS	surugamide A / surugamide D	14
fig|6666666.737887.peg.2395	CuatroCienegas	2.2	Streptomyces sp CC208A	NRPS-like	NRPS-like	ulleungmycin	8
fig|6666666.737887.peg.1953	CuatroCienegas	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.4116	CuatroCienegas	52.2	Streptomyces sp CC208A	NRPS	NRPS	cosmomycin C	5
fig|6666666.737887.peg.2405	CuatroCienegas	2.2	Streptomyces sp CC208A	NRPS-like	NRPS-like	ulleungmycin	8
fig|6666666.737887.peg.5650	CuatroCienegas	100.1	Streptomyces sp CC208A	NRPS	NRPS	rustmicin	6
fig|6666666.737888.peg.7517	CuatroCienegas	90.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	zorbamycin	4
fig|6666666.737888.peg.1920	CuatroCienegas	95.1	Streptomyces sp. CC219B	T1PKS	butyrolactone	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	63
fig|6666666.737888.peg.559	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.6158	CuatroCienegas	44.2	Streptomyces sp. CC219B	bacteriocin	bacteriocin	informatipeptin	42
fig|6666666.737888.peg.2951	CuatroCienegas	22.1	Streptomyces sp. CC219B	LAP	LAP	argimycin PI / argimycin PII / nigrifactin / argimycin PIV / argimycin PV / argimycin PVI / argimycin PIX	5
fig|6666666.737888.peg.6303	CuatroCienegas	44.3	Streptomyces sp. CC219B	NRPS	T1PKS	lankamycin	13
fig|6666666.737888.peg.4979	CuatroCienegas	60.2	Streptomyces sp. CC219B	T1PKS	T1PKS	pyrrolomycin A / pyrrolomycin B / pyrrolomycin C / pyrrolomycin D	42
fig|6666666.737888.peg.575	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.225	CuatroCienegas	52.2	Streptomyces sp. CC219B	NRPS	melanin	istamycin	5
fig|6666666.540227.peg.4781	CuatroCienegas	23.1	Nocardia sp. CC227C	NRPS	NRPS	isorenieratene	18
fig|6666666.540227.peg.6243	CuatroCienegas	33.1	Nocardia sp. CC227C	NRPS	NRPS	calicheamicin	4
fig|6666666.540227.peg.5593	CuatroCienegas	1.1	Nocardia sp. CC227C	T1PKS	NRPS	streptolydigin	7
fig|6666666.540227.peg.1397	CuatroCienegas	43.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.5616	CuatroCienegas	1.1	Nocardia sp. CC227C	T1PKS	NRPS	streptolydigin	7
fig|6666666.540227.peg.2808	CuatroCienegas	37.2	Nocardia sp. CC227C	NRPS	NRPS	A40926	7
fig|6666666.540227.peg.4202	CuatroCienegas	39.1	Nocardia sp. CC227C	NRPS	NRPS		
