ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
fig|6666666.737887.peg.1953	CuatroCienegas	25.1	Streptomyces sp CC208A	T2PKS	T2PKS	lomaiviticin A / lomaiviticin C / lomaiviticin D / lomaiviticin E	56
fig|6666666.737887.peg.4142	CuatroCienegas	52.2	Streptomyces sp CC208A	NRPS	NRPS	cosmomycin C	5
fig|6666666.737887.peg.4114	CuatroCienegas	52.2	Streptomyces sp CC208A	NRPS	NRPS	cosmomycin C	5
fig|6666666.737887.peg.2405	CuatroCienegas	2.2	Streptomyces sp CC208A	NRPS-like	NRPS-like	ulleungmycin	8
fig|6666666.737887.peg.5652	CuatroCienegas	100.1	Streptomyces sp CC208A	NRPS	NRPS	rustmicin	6
fig|6666666.737887.peg.2195	CuatroCienegas	2.1	Streptomyces sp CC208A	NRPS	NRPS	surugamide A / surugamide D	14
fig|6666666.737887.peg.4153	CuatroCienegas	52.2	Streptomyces sp CC208A	NRPS	NRPS	cosmomycin C	5
fig|6666666.737888.peg.7612	CuatroCienegas	90.2	Streptomyces sp. CC219B	NRPS	NRPS	JBIR-78 / JBIR-95	66
fig|6666666.737888.peg.587	CuatroCienegas	52.3	Streptomyces sp. CC219B	NRPS	T1PKS	SCO-2138	50
fig|6666666.737888.peg.892	CuatroCienegas	38.1	Streptomyces sp. CC219B	NRPS-like	NRPS-like	daptomycin	7
fig|6666666.737888.peg.3275	CuatroCienegas	22.2	Streptomyces sp. CC219B	T3PKS	T3PKS	herboxidiene	8
fig|6666666.737888.peg.6158	CuatroCienegas	44.2	Streptomyces sp. CC219B	bacteriocin	bacteriocin	informatipeptin	42
fig|6666666.737888.peg.1415	CuatroCienegas	96.2	Streptomyces sp. CC219B	terpene	terpene	albaflavenone	100
fig|6666666.737888.peg.6306	CuatroCienegas	44.3	Streptomyces sp. CC219B	NRPS	T1PKS	lankamycin	13
fig|6666666.737888.peg.8077	CuatroCienegas	16.1	Streptomyces sp. CC219B	NRPS	T1PKS	fluvirucin B2	5
fig|6666666.540227.peg.4697	CuatroCienegas	47.1	Nocardia sp. CC227C	NRPS	NRPS		
fig|6666666.540227.peg.4788	CuatroCienegas	23.1	Nocardia sp. CC227C	NRPS	NRPS	isorenieratene	18
fig|6666666.540227.peg.2031	CuatroCienegas	13.1	Nocardia sp. CC227C	NRPS	NRPS	nataxazole	11
fig|6666666.540227.peg.5586	CuatroCienegas	1.1	Nocardia sp. CC227C	T1PKS	NRPS	streptolydigin	7
fig|6666666.540227.peg.2949	CuatroCienegas	37.3	Nocardia sp. CC227C	NRPS	NRPS	heterobactin A / heterobactin S2	63
fig|6666666.540227.peg.6583	CuatroCienegas	44.2	Nocardia sp. CC227C	T2PKS	T2PKS	enterocin	60
fig|6666666.540227.peg.3033	CuatroCienegas	37.4	Nocardia sp. CC227C	NRPS	NRPS	lugdunomycin	11
fig|6666666.540227.peg.4269	CuatroCienegas	39.2	Nocardia sp. CC227C	NRPS	NRPS	atratumycin	5
fig|6666666.540227.peg.6679	CuatroCienegas	44.3	Nocardia sp. CC227C	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540227.peg.642	CuatroCienegas	3.4	Nocardia sp. CC227C	arylpolyene	T3PKS		
fig|6666666.540227.peg.3049	CuatroCienegas	37.4	Nocardia sp. CC227C	NRPS	NRPS	lugdunomycin	11
fig|6666666.540227.peg.6230	CuatroCienegas	33.1	Nocardia sp. CC227C	NRPS	NRPS	calicheamicin	4
